,Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
0,Ath Paranaense,3,38,38,3.42,38.0,32,84,150,116,827,18,10,10,15,395,8,6,2,0,250
1,Atlético Mineiro,3,38,38,3.42,38.0,49,129,174,125,759,13,9,16,7,184,9,7,1,1,125
2,Avaí,3,38,38,3.42,38.0,62,163,197,136,721,3,11,24,9,237,7,7,0,0,0
3,Bahia,2,38,38,3.42,38.0,43,113,159,115,755,12,13,13,14,368,5,4,1,0,200
4,Botafogo (RJ),2,38,38,3.42,38.0,45,118,195,152,785,13,4,21,10,263,4,3,0,1,0
5,Ceará,3,38,38,3.42,38.0,41,108,148,108,736,10,9,19,8,211,2,2,0,0,0
6,Chapecoense,2,38,38,3.42,38.0,52,137,189,134,757,7,11,20,8,211,10,6,4,0,400
7,Corinthians,3,38,38,3.42,38.0,34,89,145,110,800,14,14,10,17,447,7,5,2,0,286
8,Cruzeiro,2,38,38,3.42,38.0,46,121,152,104,724,7,15,16,13,342,7,4,2,1,333
9,CSA,2,38,38,3.419,38.0,58,153,217,160,742,8,8,22,10,263,5,2,2,1,500
10,Flamengo,3,38,38,3.419,38.0,37,97,143,105,783,28,6,4,14,368,8,6,2,0,250
11,Fluminense,4,38,38,3.416,38.0,46,121,177,131,763,12,10,16,11,289,4,4,0,0,0
12,Fortaleza,2,38,38,3.42,38.0,49,129,170,121,741,15,8,15,8,211,7,5,1,1,167
13,Goiás,3,38,38,3.42,38.0,64,168,208,143,707,15,7,16,10,263,6,3,2,1,400
14,Grêmio,3,38,38,3.42,38.0,39,103,157,121,809,19,8,11,14,368,9,9,0,0,0
15,Internacional,2,38,38,3.414,38.0,39,103,170,131,794,16,9,13,12,316,5,4,1,0,200
16,Palmeiras,3,38,38,3.42,38.0,32,84,140,108,821,21,11,6,15,395,8,7,1,0,125
17,Santos,2,38,38,3.42,38.0,33,87,135,102,770,22,8,8,17,447,3,2,1,0,333
18,São Paulo,2,38,38,3.42,38.0,30,79,144,115,819,17,12,9,15,395,4,4,0,0,0
19,Vasco da Gama,3,38,38,3.42,38.0,45,118,155,113,735,12,13,13,10,263,4,4,0,0,0
