,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Ath Paranaense,36,38.0,1037,2729,766,93,56,67,38,17,84,221,55,8,6,10,5,0
1,Atlético Mineiro,32,38.0,1067,2808,755,83,77,67,61,24,74,195,38,4,15,8,8,1
2,Avaí,42,38.0,799,2103,525,75,78,41,65,15,29,76,15,3,2,2,6,1
3,Bahia,31,38.0,869,2287,620,73,63,40,55,18,72,189,48,3,4,7,9,1
4,Botafogo (RJ),33,38.0,695,1829,467,84,33,38,62,11,53,139,31,7,1,8,5,1
5,Ceará,33,38.0,884,2326,622,75,63,54,58,12,61,161,41,10,1,4,5,0
6,Chapecoense,36,38.0,914,2405,613,96,65,61,58,21,55,145,29,8,4,11,3,0
7,Corinthians,33,38.0,895,2355,641,73,63,45,59,14,67,176,37,7,9,11,3,0
8,Cruzeiro,35,38.0,927,2439,706,66,49,47,52,7,47,124,32,3,1,6,5,0
9,CSA,40,38.0,725,1908,502,85,44,35,55,4,41,108,29,3,3,2,4,0
10,Flamengo,37,38.0,1063,2797,780,86,79,52,51,15,147,387,112,7,8,15,3,2
11,Fluminense,39,38.0,1012,2663,761,73,59,63,39,17,55,145,33,3,5,8,6,0
12,Fortaleza,32,38.0,766,2016,553,58,55,37,58,5,89,234,61,6,4,8,10,0
13,Goiás,39,38.0,864,2274,552,88,84,51,72,17,72,189,37,8,8,11,7,1
14,Grêmio,40,38.0,940,2474,672,72,68,53,63,12,114,300,73,12,10,5,12,2
15,Internacional,38,38.0,950,2500,678,80,67,65,49,11,64,168,37,8,4,13,1,1
16,Palmeiras,35,38.0,995,2618,686,125,63,49,57,15,109,287,79,9,6,9,6,0
17,Santos,30,38.0,1011,2661,724,70,68,68,59,22,95,250,58,4,9,13,8,3
18,São Paulo,36,38.0,929,2445,660,95,62,48,51,13,66,174,43,5,8,5,5,0
19,Vasco da Gama,39,38.0,886,2332,592,80,63,63,66,22,63,166,33,5,5,11,8,1
