,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Gols do artilheiro
0,1,Flamengo,38,28,6,4,86,37,49,90,237,81.6,42.8,38.8,102,58.809,Gabriel Barbosa,Diego Alves,25
1,2,Santos,38,22,8,8,60,33,27,74,195,62.1,39.8,22.3,59,10.388,Eduardo Sasha,Éverson,14
2,3,Palmeiras,38,21,11,6,61,32,29,74,195,59.7,33.3,26.5,70,28.413,Bruno Henrique,Wéverton,10
3,4,Grêmio,38,19,8,11,64,39,25,65,171,57.0,42.4,14.6,39,16.751,Everton Soares,Paulo Victor Vidotti,11
4,5,Ath Paranaense,38,18,10,10,51,32,19,64,168,64.0,49.8,14.2,37,15.449,Marcelo Cirino,Santos,9
5,6,São Paulo,38,17,12,9,39,30,9,63,166,44.1,42.3,1.9,5,29.624,Vitor Bueno,Tiago Volpi,6
6,7,Internacional,38,16,9,13,44,39,5,57,150,53.0,47.5,5.5,15,20.651,Paolo Guerrero,Marcelo Lomba,10
7,8,Corinthians,38,14,14,10,42,34,8,56,147,42.4,42.8,-0.5,-1,32.894,Mauro Boselli,Cássio,7
8,9,Fortaleza,38,15,8,15,50,49,1,53,139,50.0,62.1,-12.0,-32,33.661,Wellington Paulista,Felipe Alves Raymundo,13
9,10,Goiás,38,15,7,16,46,64,-18,52,137,47.2,63.4,-16.2,-43,14.935,"Rafael Moura, Michael",Tadeu,9
10,11,Bahia,38,12,13,13,44,43,1,49,129,51.7,47.4,4.3,11,26.674,Gilberto,Douglas Friedrich,14
11,12,Vasco da Gama,38,12,13,13,39,45,-6,49,129,56.7,53.8,2.9,8,21.092,Yago Pikachu,Fernando Miguel,5
12,13,Atlético Mineiro,38,13,9,16,45,49,-4,48,126,59.5,50.3,9.2,24,19.044,Juan Cazares,Cleiton Schwengber,6
13,14,Fluminense,38,12,10,16,38,46,-8,46,121,54.6,53.0,1.6,4,21.483,Yony González,Muriel Becker,6
14,15,Botafogo (RJ),38,13,4,21,31,45,-14,43,113,37.9,62.9,-24.9,-66,17.425,Diego Souza,Gatito Fernández,7
15,16,Ceará,38,10,9,19,36,41,-5,39,103,48.7,53.4,-4.7,-12,26.742,Thiago Galhardo,Diogo Silva,12
16,17,Cruzeiro,38,7,15,16,27,46,-19,36,95,46.5,51.4,-4.8,-13,27.049,Thiago Neves,Fábio,6
17,18,CSA,38,8,8,22,24,58,-34,32,84,34.6,64.1,-29.5,-78,12.015,Jonathan David Gómez,Jordi Almeida,5
18,19,Chapecoense,38,7,11,20,31,52,-21,32,84,41.7,67.7,-26.0,-68,7.43,Everaldo Stum,Tiepo,13
19,20,Avaí,38,3,11,24,18,62,-44,20,53,34.8,57.9,-23.1,-61,8.338,João Paulo Alves,Vladimir,5
