,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Ath Paranaense,49,587,209,35.6,15.4,5.5,0.1,0.2,19.0,25,3,4,64.0,61.0,0.1,-15.0,-15.0
1,Atlético Mineiro,44,603,189,31.3,15.9,5.0,0.1,0.2,20.7,45,5,8,59.5,53.3,0.1,-15.5,-14.3
2,Avaí,17,458,106,23.1,12.0,2.8,0.0,0.1,22.0,29,4,5,34.8,30.9,0.1,-17.8,-17.9
3,Bahia,43,487,148,30.4,12.8,3.9,0.1,0.2,20.4,29,9,10,51.7,43.9,0.1,-8.7,-9.9
4,Botafogo (RJ),29,387,122,31.5,10.2,3.2,0.1,0.2,20.1,29,3,3,37.9,35.6,0.1,-8.9,-9.6
5,Ceará,35,493,160,32.5,13.0,4.2,0.1,0.2,19.8,35,3,6,48.7,43.9,0.1,-13.7,-11.9
6,Chapecoense,31,507,137,27.0,13.3,3.6,0.0,0.2,21.0,25,4,5,41.7,37.8,0.1,-10.7,-10.8
7,Corinthians,41,488,143,29.3,12.8,3.8,0.1,0.3,20.1,31,4,4,42.4,39.2,0.1,-1.4,-2.2
8,Cruzeiro,27,504,148,29.4,13.3,3.9,0.0,0.2,20.8,25,4,5,46.5,42.7,0.1,-19.5,-19.7
9,CSA,24,405,110,27.2,10.7,2.9,0.0,0.2,20.7,19,4,5,34.6,30.6,0.1,-10.6,-10.6
10,Flamengo,85,578,209,36.2,15.2,5.5,0.1,0.4,17.7,26,6,8,81.6,75.5,0.1,3.4,3.5
11,Fluminense,35,565,175,31.0,14.9,4.6,0.0,0.2,18.6,16,4,5,54.6,50.6,0.1,-19.6,-19.6
12,Fortaleza,48,413,139,33.7,10.9,3.7,0.1,0.3,20.6,23,8,9,50.0,43.0,0.1,-2.0,-3.0
13,Goiás,44,502,142,28.3,13.2,3.7,0.1,0.3,21.3,39,4,4,47.2,44.0,0.1,-3.2,-4.0
14,Grêmio,63,514,181,35.2,13.5,4.8,0.1,0.3,19.8,37,7,9,57.0,50.0,0.1,6.0,6.0
15,Internacional,43,545,175,32.1,14.3,4.6,0.1,0.2,19.4,33,1,3,53.0,50.8,0.1,-10.0,-8.8
16,Palmeiras,61,561,200,35.7,14.8,5.3,0.1,0.3,18.9,28,5,6,59.7,55.2,0.1,1.3,0.8
17,Santos,58,577,202,35.0,15.2,5.3,0.1,0.3,19.0,29,5,7,62.1,56.6,0.1,-4.1,-3.6
18,São Paulo,39,517,167,32.3,13.6,4.4,0.1,0.2,20.7,31,3,4,44.1,41.1,0.1,-5.1,-5.1
19,Vasco da Gama,37,501,147,29.3,13.2,3.9,0.1,0.2,19.2,33,8,12,56.7,47.6,0.1,-19.7,-18.6
