,Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
0,Arsenal,2,38.0,48,7,0,9,0,518,23,38,10,92,364,253,964,233,248,279,314,398,355,606,25,41,42,111,156
1,Aston Villa,4,38.0,67,5,1,9,1,516,25,-144,-38,240,665,361,862,179,501,400,343,679,494,628,23,37,28,74,99
2,Bournemouth,2,38.0,65,5,4,4,0,626,30,-24,-6,185,616,300,866,190,475,292,295,695,532,603,20,33,26,68,133
3,Brighton,1,38.0,54,2,0,7,2,502,29,-18,-5,207,412,502,1201,255,253,290,274,394,334,526,20,38,26,68,137
4,Burnley,1,38.0,50,4,0,7,1,457,25,-33,-9,263,870,302,883,180,676,471,304,898,637,623,52,83,48,126,149
5,Chelsea,2,38.0,54,2,2,9,3,375,31,-135,-36,102,302,338,1028,168,220,314,226,336,327,389,21,54,38,100,160
6,Crystal Palace,2,38.0,50,0,1,5,2,557,34,77,20,237,710,334,848,180,534,489,313,821,574,651,23,35,27,71,132
7,Everton,1,38.0,56,3,3,5,3,502,32,-28,-7,270,730,370,1104,195,513,401,275,596,468,510,24,47,25,66,134
8,Leicester City,1,38.0,41,8,0,5,2,443,26,53,14,180,398,452,951,159,315,330,241,407,361,507,14,28,34,89,172
9,Liverpool,2,38.0,33,1,1,2,1,271,25,-49,-13,121,288,420,1017,191,219,274,239,272,303,426,17,40,77,203,192
10,Manchester City,2,38.0,35,3,1,4,1,341,29,1,0,92,227,405,1047,195,166,280,167,317,316,323,15,46,64,169,110
11,Manchester Utd,1,38.0,36,3,1,8,1,347,25,-3,-1,83,262,317,672,153,284,306,268,265,290,489,10,20,22,58,150
12,Newcastle Utd,1,38.0,58,2,3,8,2,630,32,70,18,288,750,384,749,119,607,420,340,868,583,686,21,31,26,68,116
13,Norwich City,3,38.0,75,4,1,11,3,665,29,-55,-14,173,622,278,1292,211,360,227,349,450,386,682,30,44,26,68,113
14,Sheffield Utd,2,38.0,39,1,0,2,0,437,32,47,12,270,872,310,816,110,744,512,272,974,691,572,20,35,23,61,70
15,Southampton,2,38.0,60,3,1,5,1,547,31,-43,-11,229,706,324,824,103,598,416,255,835,562,578,29,50,39,103,128
16,Tottenham,2,38.0,47,5,1,4,2,530,26,80,21,167,484,345,798,160,397,333,292,572,417,574,23,40,24,63,176
17,Watford,1,38.0,64,8,3,7,3,626,31,16,4,302,923,327,912,118,717,469,295,912,622,581,30,52,55,145,159
18,West Ham,4,38.0,62,5,2,6,3,605,30,15,4,288,743,388,773,142,627,446,291,887,589,600,12,20,22,58,150
19,Wolves,1,38.0,40,1,1,6,1,355,26,-35,-9,250,528,473,578,127,531,390,283,781,487,530,20,38,11,29,117
