,Squad,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Arsenal,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18
1,Aston Villa,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26
2,Bournemouth,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16
3,Brighton,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15
4,Burnley,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15
5,Chelsea,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14
6,Crystal Palace,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18
7,Everton,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13
8,Leicester City,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16
9,Liverpool,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25
10,Manchester City,514,301,204,210,100,230,605,38.0,375,292,66,226,352,866,495,21
11,Manchester Utd,579,333,267,231,81,254,634,40.1,380,360,99,261,379,958,703,14
12,Newcastle Utd,603,357,364,198,41,273,632,43.2,359,402,152,250,391,994,988,19
13,Norwich City,628,379,359,210,59,267,700,38.1,433,453,171,282,397,1025,959,20
14,Sheffield Utd,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16
15,Southampton,706,416,325,287,94,324,793,40.9,469,488,124,364,425,1131,867,21
16,Tottenham,665,415,331,281,53,253,681,37.2,428,441,148,293,381,1046,894,24
17,Watford,657,369,347,249,61,267,713,37.4,446,396,135,261,424,1081,869,4
18,West Ham,696,417,374,263,59,300,745,40.3,445,383,117,266,421,1117,789,16
19,Wolves,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23
