,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Arsenal,29,38.0,20410,18463,1874,487,67,153,699,756,231,96,71,3,16634,73,320
1,Aston Villa,28,38.0,15672,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307
2,Bournemouth,27,38.0,16387,14488,1832,450,28,92,646,790,194,104,57,0,12042,67,390
3,Brighton,25,38.0,20056,18194,1791,394,34,200,689,853,178,78,78,0,15881,71,365
4,Burnley,22,38.0,14694,12767,1838,408,29,99,743,868,170,158,1,0,10049,89,287
5,Chelsea,27,38.0,25213,23308,1842,401,61,215,862,876,247,106,82,2,20958,63,361
6,Crystal Palace,25,38.0,16395,14377,1965,501,19,79,588,886,177,93,32,36,12274,53,318
7,Everton,24,38.0,17736,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362
8,Leicester City,24,38.0,21800,19817,1919,495,68,126,779,883,221,70,100,7,17600,64,368
9,Liverpool,24,38.0,25891,23952,1886,440,68,283,896,879,257,63,125,2,21276,53,343
10,Manchester City,24,38.0,28190,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329
11,Manchester Utd,29,38.0,21725,19836,1833,466,64,171,635,822,204,86,63,11,17744,56,381
12,Newcastle Utd,28,38.0,14566,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304
13,Norwich City,30,38.0,18869,16961,1858,461,47,124,473,773,162,75,77,2,14965,50,373
14,Sheffield Utd,26,38.0,16858,14962,1818,375,15,206,866,882,212,150,18,18,12125,78,341
15,Southampton,25,38.0,17468,15450,1960,448,27,133,690,950,210,106,87,5,12488,58,331
16,Tottenham,29,38.0,20296,18404,1826,464,79,113,641,785,200,116,51,1,16101,66,344
17,Watford,26,38.0,15775,13907,1800,398,11,134,684,838,167,92,49,2,11230,68,285
18,West Ham,29,38.0,16861,14967,1828,432,38,156,737,815,190,111,54,6,12451,66,358
19,Wolves,21,38.0,18474,16650,1775,405,40,203,718,816,193,55,80,0,14298,49,323
