,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,Arsenal,29,53.8,38.0,24424,2737,8368,10648,5628,821,24421,697,411,590,286,410,14410,85069,46708,815,534,209,547,370,16527,1630
1,Aston Villa,28,44.1,38.0,19977,2658,7038,8203,4969,695,19974,569,352,619,217,381,10317,61373,31557,639,476,139,546,313,11546,1229
2,Bournemouth,27,44.1,38.0,20872,2556,7472,8683,4916,717,20868,602,325,540,277,460,12070,62723,31212,601,424,136,571,384,11946,1238
3,Brighton,25,52.2,38.0,24387,2721,8174,10724,5693,770,24385,584,335,574,249,426,13074,73950,37898,669,502,165,626,399,15782,1661
4,Burnley,22,41.9,38.0,18827,2224,5596,8993,4410,617,18823,454,246,542,208,458,8828,46545,21653,437,352,71,509,291,9969,882
5,Chelsea,27,60.4,38.0,29489,2281,8311,13996,7423,1063,29482,718,460,641,258,359,18488,98638,51643,983,725,222,583,414,20848,1880
6,Crystal Palace,25,44.8,38.0,20928,2377,7276,9017,4876,793,20925,698,432,619,266,381,10305,58519,29301,596,428,198,611,479,12187,1208
7,Everton,24,49.0,38.0,22035,2514,7389,9561,5301,838,22034,609,374,614,235,386,12432,65428,32588,623,502,146,593,345,13344,1421
8,Leicester City,24,57.1,38.0,26247,2187,7814,12226,6415,925,26240,688,377,548,311,452,16018,77180,39583,739,561,223,602,328,17485,1601
9,Liverpool,24,62.9,38.0,29748,2077,7168,14888,7908,1193,29743,658,387,588,271,412,20165,94607,50195,967,782,252,607,306,21151,1925
10,Manchester City,24,66.2,38.0,31884,2009,6806,15609,9720,1473,31873,721,487,675,235,326,23022,118327,66426,1199,964,377,456,341,24428,2453
11,Manchester Utd,29,55.8,38.0,25838,2167,7222,11840,6993,878,25824,747,446,597,301,403,14498,83016,46282,926,681,255,559,396,17632,1779
12,Newcastle Utd,28,39.0,38.0,18910,2401,7096,8182,3875,542,18909,674,400,593,274,407,9916,54616,27300,537,426,138,594,288,10525,826
13,Norwich City,30,49.3,38.0,23409,3125,9058,9868,4701,661,23407,706,427,605,278,394,14090,74844,38544,673,476,177,591,405,14835,1159
14,Sheffield Utd,26,43.1,38.0,21000,2180,6190,8918,6070,733,20999,535,346,647,187,350,9508,48303,23773,493,375,116,519,292,12015,1334
15,Southampton,25,48.9,38.0,22200,2123,6196,10753,5497,811,22196,680,423,622,257,378,10579,58592,29795,628,459,182,654,362,12363,1308
16,Tottenham,29,52.0,38.0,24729,2568,7603,11826,5549,710,24725,747,449,601,297,398,15489,76394,39387,768,573,182,577,437,15997,1398
17,Watford,26,42.9,38.0,20081,2134,6250,8911,5148,805,20073,576,321,557,254,441,10429,54446,27529,578,446,162,549,348,11126,1152
18,West Ham,29,44.1,38.0,20992,2159,6259,9681,5265,746,20988,663,397,599,264,398,11154,62359,30132,666,485,168,496,322,12348,1370
19,Wolves,21,48.3,38.0,22660,1987,6969,10797,5105,779,22656,817,509,623,308,377,11543,66813,36391,858,559,229,540,338,14176,1320
