,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Liverpool,38,32,3,3,85,33,52,99,2.6,68.9,37.7,31.2,0.8,41955
1,2,Manchester City,38,26,3,9,102,35,67,81,2.1,92.0,36.2,55.7,1.5,37097
2,3,Manchester Utd,38,18,12,8,66,36,30,66,1.7,62.2,37.7,24.5,0.6,57415
3,4,Chelsea,38,20,6,12,69,54,15,66,1.7,69.2,38.6,30.6,0.8,32023
4,5,Leicester City,38,18,8,12,67,41,26,62,1.6,62.2,45.5,16.7,0.4,25312
5,6,Tottenham,38,16,11,11,61,47,14,59,1.6,47.9,54.2,-6.3,-0.2,43757
6,7,Wolves,38,15,14,9,51,40,11,59,1.6,54.1,38.0,16.1,0.4,24758
7,8,Arsenal,38,14,14,10,56,48,8,56,1.5,47.0,55.3,-8.3,-0.2,47589
8,9,Sheffield Utd,38,14,12,12,39,39,0,54,1.4,43.0,51.0,-7.9,-0.2,24370
9,10,Burnley,38,15,9,14,43,50,-7,54,1.4,47.4,49.8,-2.4,-0.1,15995
10,11,Southampton,38,15,7,16,51,60,-9,52,1.4,56.1,52.8,3.3,0.1,23428
11,12,Everton,38,13,10,15,44,56,-12,49,1.3,50.8,48.3,2.5,0.1,28848
12,13,Newcastle Utd,38,11,11,16,38,58,-20,44,1.2,35.5,65.6,-30.1,-0.8,35551
13,14,Crystal Palace,38,11,10,17,31,50,-19,43,1.1,35.8,57.0,-21.2,-0.6,19784
14,15,Brighton,38,9,14,15,39,54,-15,41,1.1,45.4,55.0,-9.5,-0.2,22369
15,16,West Ham,38,10,9,19,49,62,-13,39,1.0,48.6,63.8,-15.2,-0.4,44155
16,17,Aston Villa,38,9,8,21,41,67,-26,35,0.9,44.3,67.8,-23.5,-0.6,28505
17,18,Bournemouth,38,9,7,22,40,65,-25,34,0.9,44.8,62.3,-17.5,-0.5,7745
18,19,Watford,38,8,10,20,36,64,-28,34,0.9,48.9,58.1,-9.3,-0.2,15353
19,20,Norwich City,38,5,6,27,26,75,-49,21,0.6,37.0,66.5,-29.5,-0.8,19913
