,Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Arsenal,29,258,53.8,38,418,3.42,38.0,56,35,91,53,3,3,88,5,47.0,44.6,31.4,761,815,1641,147,92,239,139,232,124,83,206,117,200
1,Aston Villa,28,257,44.1,38,418,3.42,38.0,40,32,72,39,1,3,70,1,44.3,41.8,34.2,760,639,1247,105,84,189,103,187,116,90,206,110,200
2,Bournemouth,27,252,44.1,38,418,3.42,38.0,38,24,62,34,4,4,78,3,44.8,41.7,30.6,723,601,1256,100,63,163,89,153,118,80,198,110,190
3,Brighton,25,264,52.2,38,418,3.42,38.0,35,24,59,34,1,2,59,2,45.4,43.8,31.6,754,669,1675,92,63,155,89,153,120,83,203,115,199
4,Burnley,22,280,41.9,38,418,3.42,38.0,41,30,71,38,3,3,67,0,47.4,45.3,32.4,777,437,890,108,79,187,100,179,125,85,210,119,204
5,Chelsea,27,255,60.4,38,418,3.42,38.0,69,46,115,62,7,7,60,0,69.2,64.4,46.7,1111,983,1897,182,121,303,163,284,182,123,305,170,292
6,Crystal Palace,25,294,44.8,38,418,3.42,38.0,29,20,49,26,3,3,62,2,35.8,33.6,26.0,595,596,1223,76,53,129,68,121,94,68,163,88,157
7,Everton,24,255,49.0,38,418,3.42,38.0,42,32,74,41,1,1,76,3,50.8,50.0,38.1,881,623,1430,111,84,195,108,192,134,100,234,132,232
8,Leicester City,24,261,57.1,38,418,3.42,38.0,65,48,113,60,5,7,43,3,62.2,56.7,44.9,1016,739,1612,171,126,297,158,284,164,118,282,149,267
9,Liverpool,24,266,62.9,38,418,3.42,38.0,83,69,152,78,5,5,38,1,68.9,65.0,53.0,1180,967,1941,218,182,400,205,387,181,139,321,171,310
10,Manchester City,24,269,66.2,38,418,3.42,38.0,100,69,169,94,6,11,64,4,92.0,83.6,68.4,1520,1199,2460,263,182,445,247,429,242,180,422,220,400
11,Manchester Utd,29,248,55.8,38,418,3.42,38.0,65,43,108,55,10,14,73,0,62.2,51.2,38.5,897,926,1788,171,113,284,145,258,164,101,265,135,236
12,Newcastle Utd,28,265,39.0,38,418,3.42,38.0,38,29,67,38,0,1,66,3,35.5,34.8,26.9,617,537,844,100,76,176,100,176,94,71,164,91,162
13,Norwich City,30,260,49.3,38,418,3.42,38.0,25,18,43,23,2,2,68,3,37.0,35.4,27.4,628,673,1169,66,47,113,61,108,97,72,169,93,165
14,Sheffield Utd,26,269,43.1,38,418,3.42,38.0,36,25,61,35,1,1,63,2,43.0,42.2,34.0,763,493,1352,95,66,161,92,158,113,90,203,111,201
15,Southampton,25,259,48.9,38,418,3.42,38.0,51,32,83,49,2,5,55,4,56.1,52.1,36.4,885,628,1335,134,84,218,129,213,148,96,243,137,233
16,Tottenham,29,267,52.0,38,418,3.42,38.0,56,39,95,53,3,4,84,3,47.9,44.7,32.6,773,768,1410,147,103,250,139,242,126,86,212,118,203
17,Watford,26,289,42.9,38,418,3.42,38.0,35,21,56,28,7,8,80,3,48.9,42.6,31.4,740,578,1168,92,55,147,74,129,129,83,211,112,195
18,West Ham,29,274,44.1,38,418,3.42,38.0,49,36,85,45,4,4,64,1,48.6,45.4,36.7,822,666,1377,129,95,224,118,213,128,97,224,120,216
19,Wolves,21,266,48.3,38,418,3.42,38.0,49,34,83,45,4,4,61,2,54.1,51.0,37.5,885,858,1338,129,89,218,118,208,142,99,241,134,233
