,Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
0,Alavés,3,38.0,59,12,3,3,0,566,27,-24,-6,375,828,453,783,103,660,461,344,904,586,527,12,23,15,39,91.0
1,Athletic Club,2,38.0,38,5,2,2,2,398,28,38,10,345,817,422,976,172,565,414,298,893,609,547,26,48,20,53,100.0
2,Atlético Madrid,2,38.0,27,3,1,4,3,298,24,58,15,233,592,394,637,112,564,302,320,728,500,533,12,23,12,32,
3,Barcelona,2,38.0,38,6,2,1,0,365,26,-15,-4,127,249,510,1237,182,154,257,254,228,278,401,19,47,43,113,152.0
4,Betis,2,38.0,60,11,1,4,1,548,29,-42,-11,158,464,341,1045,171,341,330,284,380,355,524,12,23,59,155,178.0
5,Celta Vigo,3,38.0,49,5,3,3,0,458,28,-32,-8,202,576,351,784,136,445,301,339,670,491,604,20,33,16,42,160.0
6,Eibar,2,38.0,56,4,2,3,1,522,35,-28,-7,297,896,331,882,93,723,516,268,963,706,471,26,55,77,203,179.0
7,Espanyol,2,38.0,58,6,0,4,2,544,31,-16,-4,228,688,331,895,133,525,311,316,690,496,495,29,59,51,135,78.0
8,Getafe,1,38.0,37,5,0,2,2,383,30,33,9,359,970,370,880,46,834,527,259,911,585,383,20,52,69,182,181.0
9,Granada,2,38.0,45,4,1,5,0,459,27,9,2,329,899,366,1074,137,601,431,325,782,551,538,27,50,68,179,166.0
10,Leganés,2,38.0,51,6,2,7,1,465,29,-35,-9,260,774,336,828,165,621,461,292,890,625,513,18,35,42,111,162.0
11,Levante,2,38.0,53,3,1,9,2,543,23,33,9,179,515,348,813,206,432,367,354,463,394,636,20,31,49,129,161.0
12,Mallorca,3,38.0,65,15,2,7,1,638,26,-2,-1,253,670,378,932,185,519,380,320,581,478,539,26,48,28,74,83.0
13,Osasuna,3,38.0,54,5,3,5,0,511,33,-29,-8,289,858,337,885,144,672,446,306,859,584,488,21,43,47,124,182.0
14,Real Madrid,2,38.0,25,2,0,5,0,308,26,58,15,90,312,288,970,227,227,306,246,374,382,460,23,50,37,97,145.0
15,Real Sociedad,2,38.0,48,7,2,4,1,454,26,-16,-4,220,509,432,1128,133,301,303,246,691,480,447,13,29,65,171,177.0
16,Sevilla,2,38.0,34,3,3,2,1,323,24,-7,-2,179,450,398,813,179,349,342,281,591,455,478,19,40,29,76,150.0
17,Valencia,2,38.0,53,7,3,4,1,502,22,-18,-5,211,599,352,878,201,413,342,337,700,503,619,12,19,19,50,108.0
18,Valladolid,3,38.0,43,7,2,5,0,480,29,50,13,258,793,325,789,130,631,495,365,808,561,590,15,25,18,47,
19,Villarreal,2,38.0,49,8,0,10,2,452,22,-18,-5,146,442,330,858,173,323,280,329,502,405,648,19,29,27,71,102.0
