,Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Alavés,32,276,41.5,38,418,3.42,38.0,34,20,54,28,6,6,111,7,39.3,34.7,26.9,616,403,944,89,53,142,74,126,103,71,174,91,162
1,Athletic Club,26,267,48.7,38,418,3.42,38.0,40,23,63,32,8,10,90,2,41.5,33.8,26.2,600,604,1291,105,61,166,84,145,109,69,178,89,158
2,Atlético Madrid,30,261,48.6,38,418,3.42,38.0,50,35,85,44,6,8,93,3,56.8,50.6,39.4,900,598,1333,132,92,224,116,208,150,104,253,133,237
3,Barcelona,28,278,66.4,38,418,3.42,38.0,84,62,146,78,6,6,92,6,66.3,61.7,49.5,1112,923,2042,221,163,384,205,368,175,130,305,162,293
4,Betis,27,275,56.7,38,418,3.42,38.0,48,35,83,42,6,8,108,9,51.0,45.2,36.9,820,834,1475,126,92,218,111,203,134,97,231,119,216
5,Celta Vigo,30,258,51.7,38,418,3.42,38.0,37,26,63,31,6,9,104,6,39.2,32.4,26.2,587,670,1364,97,68,166,82,150,103,69,172,85,154
6,Eibar,26,293,46.3,38,418,3.42,38.0,38,24,62,31,7,10,92,3,42.0,34.2,26.0,602,424,1265,100,63,163,82,145,110,68,179,90,158
7,Espanyol,31,277,47.4,38,418,3.42,38.0,25,17,42,21,4,4,107,9,38.6,35.6,27.3,629,561,1240,66,45,111,55,100,102,72,174,94,166
8,Getafe,30,275,45.0,38,418,3.42,38.0,42,31,73,36,6,7,135,5,41.6,36.1,27.9,640,416,1196,111,82,192,95,176,109,73,183,95,169
9,Granada,27,268,43.8,38,418,3.42,38.0,50,34,84,45,5,5,109,1,44.9,40.9,30.5,714,511,1009,132,89,221,118,208,118,80,198,108,188
10,Leganés,29,269,43.9,38,418,3.42,38.0,30,19,49,27,3,5,127,4,39.9,35.9,27.7,637,498,1165,79,50,129,71,121,105,73,178,95,168
11,Levante,29,277,48.3,38,418,3.42,38.0,45,28,73,40,5,5,79,5,48.1,44.2,36.3,805,711,1358,118,74,192,105,179,127,95,222,116,212
12,Mallorca,32,268,45.0,38,418,3.42,38.0,39,21,60,31,8,10,93,5,41.1,33.3,25.4,587,740,1210,103,55,158,82,137,108,67,175,88,155
13,Osasuna,31,277,47.4,38,418,3.42,38.0,46,26,72,38,8,8,110,6,49.4,43.2,34.4,776,562,1359,121,68,189,100,168,130,91,221,114,204
14,Real Madrid,26,276,58.8,38,418,3.42,38.0,69,52,121,58,11,11,82,4,67.9,59.2,49.9,1091,951,1972,182,137,318,153,289,179,131,310,156,287
15,Real Sociedad,27,248,56.2,38,418,3.42,38.0,54,38,92,50,4,5,79,2,48.9,45.1,35.4,805,737,1588,142,100,242,132,232,129,93,222,119,212
16,Sevilla,26,277,57.9,38,418,3.42,38.0,53,35,88,46,7,7,97,1,53.2,47.9,38.4,863,803,1823,139,92,232,121,213,140,101,241,126,227
17,Valencia,28,270,49.0,38,418,3.42,38.0,45,34,79,40,5,8,80,8,43.3,37.2,31.7,689,671,1378,118,89,208,105,195,114,83,197,98,181
18,Valladolid,30,271,44.7,38,418,3.42,38.0,31,19,50,28,3,6,84,0,36.6,32.1,24.0,561,510,1106,82,50,132,74,124,96,63,159,85,148
19,Villarreal,25,276,52.9,38,418,3.42,38.0,62,40,102,52,10,11,78,1,63.6,55.2,43.1,983,694,1483,163,105,268,137,242,167,113,281,145,259
