,Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
0,Augsburg,2,34.0,63,0,0,3,3,567,36,-33,-10,197,622,317,947,153,451,351,303,644,496,550,23,42,45,132,139
1,Bayern Munich,2,34.0,32,3,0,6,1,358,29,48,14,141,283,498,1309,208,194,240,190,153,274,314,10,32,124,365,143
2,Dortmund,2,34.0,41,3,0,7,3,379,36,-1,0,92,294,313,922,196,243,282,226,310,337,344,12,35,49,144,154
3,Düsseldorf,2,34.0,67,3,1,7,4,577,31,-53,-16,244,583,419,981,159,435,369,256,609,485,471,20,42,36,106,129
4,Eint Frankfurt,3,34.0,60,3,1,5,2,519,28,-61,-18,253,571,443,1149,141,396,332,231,502,412,418,20,48,48,141,135
5,Freiburg,3,34.0,47,3,0,6,0,532,26,62,18,218,618,353,1083,169,350,359,365,655,522,554,18,32,23,68,126
6,Gladbach,1,34.0,40,1,1,3,0,475,29,75,22,180,418,431,1263,169,257,298,282,333,346,501,13,26,49,144,169
7,Hertha BSC,3,34.0,59,7,3,8,2,505,26,-65,-19,306,671,456,934,139,504,395,273,733,508,548,36,66,29,85,228
8,Hoffenheim,2,34.0,53,6,0,4,2,547,28,37,11,150,437,343,1151,200,286,299,293,369,348,565,22,39,38,112,139
9,Köln,1,34.0,69,4,1,11,2,548,32,-122,-36,270,552,489,901,103,465,379,297,448,384,479,20,42,23,68,118
10,Leverkusen,1,34.0,44,2,1,4,0,481,33,41,12,180,498,361,1365,204,304,323,232,358,359,365,14,38,55,162,167
11,Mainz 05,2,34.0,65,3,3,7,1,589,31,-51,-15,194,577,336,953,225,397,368,316,630,483,555,33,59,35,103,136
12,Paderborn 07,2,34.0,74,4,3,7,2,607,31,-113,-33,160,359,446,1180,225,241,315,282,266,299,524,10,19,27,79,152
13,RB Leipzig,2,34.0,37,2,0,7,0,380,30,10,3,121,346,350,1102,195,244,259,237,325,336,420,19,45,71,209,176
14,Schalke 04,2,34.0,58,6,2,9,2,543,29,-17,-5,176,549,321,1043,138,375,376,267,592,454,488,28,57,31,91,127
15,Union Berlin,2,34.0,58,3,0,7,1,519,29,-51,-15,383,841,455,1107,122,559,417,276,804,565,529,32,60,38,112,134
16,Werder Bremen,2,34.0,69,1,1,11,3,505,29,-155,-46,205,506,405,917,160,374,338,310,526,419,614,12,20,31,91,120
17,Wolfsburg,2,34.0,46,5,1,4,0,457,29,-3,-1,235,540,435,994,159,407,364,240,563,450,460,21,46,46,135,163
