,Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Augsburg,12287,10461,1745,441,18,118,479,772,133,59,60,0,8439,81,339
1,Bayern Munich,24273,22488,1707,444,69,180,850,767,240,91,100,0,20587,78,347
2,Dortmund,24071,22420,1595,410,63,188,510,694,190,64,77,2,20601,56,353
3,Düsseldorf,15164,13381,1727,493,19,225,705,730,148,27,98,0,11367,56,296
4,Eint Frankfurt,16602,14737,1808,457,16,126,892,813,213,64,120,1,12302,57,375
5,Freiburg,15762,13890,1816,454,31,152,649,766,151,96,35,1,12085,56,349
6,Gladbach,17974,16127,1756,488,52,107,570,742,172,90,48,2,14321,91,305
7,Hertha BSC,14961,13249,1655,423,13,184,527,742,125,37,72,2,11361,57,302
8,Hoffenheim,17932,16146,1725,472,40,89,579,700,174,58,98,3,14392,61,339
9,Köln,15108,13248,1785,475,33,106,708,735,175,77,79,2,11195,75,314
10,Leverkusen,22954,21080,1782,475,40,124,713,782,215,127,68,2,19042,92,368
11,Mainz 05,13997,12153,1774,435,38,108,615,751,174,74,89,1,10245,70,249
12,Paderborn 07,15172,13237,1873,422,21,172,572,885,176,80,69,2,11502,62,415
13,RB Leipzig,20063,18285,1700,466,48,117,628,738,188,92,67,1,16241,78,363
14,Schalke 04,15752,13909,1762,445,33,105,472,807,152,17,110,2,12014,81,332
15,Union Berlin,13664,11861,1739,439,13,47,628,796,137,65,61,2,9451,64,317
16,Werder Bremen,16729,14830,1846,528,17,101,601,745,160,68,78,2,12893,53,350
17,Wolfsburg,15677,13799,1806,444,37,138,651,876,167,51,73,6,11610,72,344
