,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Augsburg,8439,12287,68.7,157794,67041,29,29.7,22.9,-0.7,256,542,169,53,815
1,Bayern Munich,20587,24273,84.8,362049,120150,75,73.1,80.1,1.9,481,1717,498,120,2300
2,Dortmund,20601,24071,85.6,342695,106977,74,50.6,46.4,23.4,358,1269,308,41,1736
3,Düsseldorf,11367,15164,75.0,222976,87520,26,24.2,23.8,1.8,297,902,213,75,1268
4,Eint Frankfurt,12302,16602,74.1,230242,95308,45,44.8,45.6,0.2,374,1052,283,128,1389
5,Freiburg,12085,15762,76.7,233308,88480,27,33.0,31.3,-6.0,323,825,226,95,1128
6,Gladbach,14321,17974,79.7,253262,94657,53,53.6,44.7,-0.6,353,940,277,55,1305
7,Hertha BSC,11361,14961,75.9,224357,85887,35,32.7,29.0,2.3,270,768,185,69,1073
8,Hoffenheim,14392,17932,80.3,255561,95532,36,40.2,34.2,-4.2,345,925,256,75,1261
9,Köln,11195,15108,74.1,219640,90475,38,35.6,33.3,2.4,309,806,249,96,1158
10,Leverkusen,19042,22954,83.0,331206,109589,48,48.6,44.9,-0.6,394,1106,253,55,1471
11,Mainz 05,10245,13997,73.2,190213,79210,34,37.4,32.8,-3.4,340,809,230,65,1146
12,Paderborn 07,11502,15172,75.8,215740,84031,26,26.8,22.4,-0.8,305,752,139,46,1009
13,RB Leipzig,16241,20063,81.0,269438,99769,58,54.4,51.1,3.6,428,1263,339,67,1700
14,Schalke 04,12014,15752,76.3,219684,81535,25,25.5,25.8,-0.5,274,835,212,36,1201
15,Union Berlin,9451,13664,69.2,179191,83697,27,28.0,28.6,-1.0,278,776,182,78,944
16,Werder Bremen,12893,16729,77.1,229582,88246,30,25.8,30.0,4.2,320,923,237,67,1309
17,Wolfsburg,11610,15677,74.1,222405,87941,33,37.9,35.4,-4.9,347,884,238,67,1247
