,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Atalanta,3,48,6,2,4,3,41.9,0.3,-3.1,-0.1
1,Bologna,2,65,6,2,6,1,54.1,0.3,-9.9,-0.3
2,Brescia,3,79,9,1,9,3,69.0,0.3,-7.0,-0.2
3,Cagliari,3,56,7,0,3,3,52.3,0.2,-0.7,-0.0
4,Fiorentina,3,48,9,2,5,0,50.2,0.2,2.2,0.1
5,Genoa,2,73,7,3,7,2,65.8,0.3,-5.2,-0.1
6,Hellas Verona,2,51,9,2,7,1,51.1,0.2,1.1,0.0
7,Inter,2,36,3,0,5,1,33.0,0.2,-2.0,-0.0
8,Juventus,3,43,9,1,3,0,44.7,0.2,1.7,0.0
9,Lazio,1,42,7,1,7,1,44.4,0.2,3.4,0.1
10,Lecce,2,85,11,1,10,3,79.1,0.3,-2.9,-0.1
11,Milan,3,46,5,1,4,1,45.6,0.2,0.6,0.0
12,Napoli,2,50,7,1,4,1,42.6,0.3,-6.4,-0.2
13,Parma,2,57,7,1,10,0,61.0,0.2,4.0,0.1
14,Roma,3,51,9,1,5,0,53.4,0.3,2.4,0.1
15,Sampdoria,2,65,8,0,10,4,53.5,0.3,-7.5,-0.2
16,Sassuolo,3,63,8,1,9,4,54.7,0.3,-4.3,-0.1
17,SPAL,3,77,7,3,4,3,67.5,0.3,-6.5,-0.2
18,Torino,3,68,10,3,7,3,61.9,0.2,-3.1,-0.1
19,Udinese,1,51,8,2,4,0,52.1,0.2,1.1,0.0
