,Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
0,Atalanta,3,38,38,3.42,38.0,48,126,139,94,698,23,9,6,10,263,6,6,0,0,0
1,Bologna,2,38,38,3.42,38.0,65,171,189,124,688,12,11,15,2,53,8,6,1,1,143
2,Brescia,3,38,38,3.42,38.0,79,208,236,159,703,6,7,25,6,158,11,9,1,1,100
3,Cagliari,3,38,38,3.418,38.0,56,147,195,141,749,11,12,15,7,184,9,7,1,1,125
4,Fiorentina,3,38,38,3.42,38.0,48,126,162,112,759,12,13,13,11,289,11,9,2,0,182
5,Genoa,2,38,38,3.42,38.0,73,192,201,130,672,10,9,19,7,184,9,7,0,2,0
6,Hellas Verona,2,38,38,3.42,38.0,51,134,174,124,759,12,13,13,10,263,9,9,0,0,0
7,Inter,2,38,38,3.42,38.0,36,95,118,82,720,24,10,4,14,368,4,3,1,0,250
8,Juventus,3,38,38,3.42,38.0,43,113,162,118,790,26,5,7,12,316,12,9,1,2,100
9,Lazio,1,38,38,3.42,38.0,42,111,154,112,773,24,6,8,11,289,9,7,1,1,125
10,Lecce,2,38,38,3.42,38.0,85,224,256,172,711,9,8,21,3,79,13,11,2,0,154
11,Milan,3,38,38,3.42,38.0,46,121,154,104,734,19,9,10,12,316,10,5,5,0,500
12,Napoli,2,38,38,3.42,38.0,50,132,138,88,688,18,8,12,7,184,8,7,1,0,125
13,Parma,2,38,38,3.42,38.0,57,150,212,152,764,14,7,17,6,158,11,7,3,1,300
14,Roma,3,38,38,3.42,38.0,51,134,158,106,734,21,7,10,7,184,10,9,1,0,100
15,Sampdoria,2,38,38,3.42,38.0,65,171,178,117,680,12,6,20,9,237,9,8,0,1,0
16,Sassuolo,3,38,38,3.42,38.0,63,166,184,124,701,14,9,15,7,184,9,8,1,0,111
17,SPAL,3,38,38,3.42,38.0,77,203,228,153,693,5,5,28,3,79,8,7,1,0,125
18,Torino,3,38,38,3.42,38.0,68,179,208,142,721,11,7,20,7,184,11,10,1,0,91
19,Udinese,1,38,38,3.42,38.0,51,134,194,141,778,12,9,17,14,368,10,8,2,0,200
