,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Atalanta,30,38.0,21860,19949,1861,577,40,163,767,715,248,83,132,0,17945,50,354
1,Bologna,31,38.0,18465,16401,1979,618,28,134,733,736,228,155,21,2,14608,85,329
2,Brescia,32,38.0,14648,12511,2069,644,22,160,641,784,160,44,76,1,10833,68,327
3,Cagliari,33,38.0,16868,14891,1921,562,24,167,762,749,154,63,67,1,13131,56,289
4,Fiorentina,33,38.0,17172,15265,1857,576,41,173,726,705,209,70,112,0,13589,50,313
5,Genoa,34,38.0,18157,16145,1955,555,13,142,723,782,166,51,71,0,14305,57,329
6,Hellas Verona,30,38.0,17641,15621,1929,555,29,94,750,734,207,83,112,0,13348,91,310
7,Inter,29,38.0,20842,18974,1772,469,20,243,790,704,235,92,65,1,17232,96,348
8,Juventus,30,38.0,23408,21548,1787,509,54,209,698,713,235,74,105,1,20149,73,299
9,Lazio,27,38.0,19415,17695,1649,449,63,186,741,610,218,72,102,0,15875,71,327
10,Lecce,30,38.0,17104,15195,1842,563,16,208,711,600,182,15,27,1,13640,67,336
11,Milan,32,38.0,20701,18774,1864,548,41,178,713,746,208,85,78,0,17070,63,300
12,Napoli,25,38.0,24596,22677,1865,604,36,187,813,712,222,81,93,2,21173,54,340
13,Parma,25,38.0,15756,13796,1900,524,19,204,597,735,166,79,57,2,12193,60,275
14,Roma,31,38.0,19325,17490,1790,522,57,213,781,664,267,58,162,1,15972,45,289
15,Sampdoria,31,38.0,15949,13988,1898,556,28,120,814,735,195,96,67,0,11918,63,306
16,Sassuolo,31,38.0,21873,19942,1867,621,46,117,562,677,207,118,68,1,18601,64,296
17,SPAL,34,38.0,16878,14912,1913,596,12,130,693,691,158,63,65,1,13281,53,321
18,Torino,27,38.0,16330,14310,1957,611,14,182,756,706,180,54,34,1,12572,63,318
19,Udinese,25,38.0,16971,15127,1779,470,19,151,730,664,200,73,55,0,13373,65,311
