,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Juventus,38,26,5,7,76,43,33,83,2.2,71.1,44.9,26.1,0.7,25102
1,2,Inter,38,24,10,4,81,36,45,82,2.2,69.4,40.7,28.7,0.8,41558
2,3,Atalanta,38,23,9,6,98,48,50,78,2.0,83.5,41.3,42.2,1.1,11167
3,4,Lazio,38,24,6,8,79,42,37,78,2.0,68.0,51.1,16.9,0.4,26363
4,5,Roma,38,21,7,10,77,51,26,70,1.8,73.2,49.4,23.9,0.6,26956
5,6,Milan,38,19,9,10,63,46,17,66,1.7,62.8,45.1,17.6,0.5,34078
6,7,Napoli,38,18,8,12,61,50,11,62,1.6,61.7,44.7,16.9,0.4,21622
7,8,Sassuolo,38,14,9,15,69,63,6,51,1.3,52.9,62.0,-9.2,-0.2,7704
8,9,Hellas Verona,38,12,13,13,47,51,-4,49,1.3,50.5,53.7,-3.2,-0.1,11248
9,10,Fiorentina,38,12,13,13,51,48,3,49,1.3,53.6,48.9,4.7,0.1,22486
10,11,Parma,38,14,7,17,56,57,-1,49,1.3,48.4,64.3,-15.9,-0.4,10245
11,12,Bologna,38,12,11,15,52,65,-13,47,1.2,56.9,54.8,2.0,0.0,15774
12,13,Udinese,38,12,9,17,37,51,-14,45,1.2,41.6,53.4,-11.8,-0.3,13841
13,14,Cagliari,38,11,12,15,52,56,-4,45,1.2,41.8,59.0,-17.2,-0.4,10728
14,15,Sampdoria,38,12,6,20,48,65,-17,42,1.1,50.2,54.9,-4.7,-0.1,13700
15,16,Torino,38,11,7,20,46,68,-22,40,1.0,44.8,60.8,-16.0,-0.4,13338
16,17,Genoa,38,10,9,19,47,73,-26,39,1.0,48.7,60.0,-11.3,-0.3,14016
17,18,Lecce,38,9,8,21,52,85,-33,35,0.9,54.7,85.6,-30.8,-0.8,15939
18,19,Brescia,38,6,7,25,35,79,-44,25,0.7,43.4,74.5,-31.2,-0.8,10050
19,20,SPAL,38,5,5,28,27,77,-50,20,0.5,40.7,68.6,-27.9,-0.7,8241
