,Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Atalanta,30,272,57.2,38,418,3.42,38.0,96,68,164,89,7,10,80,2,83.5,75.6,58.9,1345,978,1867,253,179,432,234,413,220,155,375,199,354
1,Bologna,31,272,52.6,38,418,3.42,38.0,48,31,79,43,5,6,109,7,56.9,52.2,41.3,935,799,1672,126,82,208,113,195,150,109,258,137,246
2,Brescia,32,256,40.6,38,418,3.42,38.0,34,22,56,30,4,4,95,6,43.4,40.2,28.8,690,537,1241,89,58,147,79,137,114,76,190,106,182
3,Cagliari,33,274,45.7,38,418,3.42,38.0,50,34,84,46,4,6,108,6,41.8,37.1,32.0,690,662,1288,132,89,221,121,211,110,84,194,98,182
4,Fiorentina,33,251,47.4,38,418,3.42,38.0,48,30,78,39,9,11,105,5,53.6,45.4,34.5,798,857,1446,126,79,205,103,182,141,91,232,119,210
5,Genoa,34,268,49.5,38,418,3.42,38.0,46,28,74,35,11,16,107,10,48.7,36.2,27.6,637,583,1280,121,74,195,92,166,128,73,201,95,168
6,Hellas Verona,30,261,49.8,38,418,3.42,38.0,45,27,72,37,8,9,87,7,50.5,43.6,34.5,781,728,1575,118,71,189,97,168,133,91,224,115,206
7,Inter,29,277,54.2,38,418,3.42,38.0,80,57,137,70,10,11,104,6,69.4,60.8,44.0,1047,797,1820,211,150,361,184,334,183,116,298,160,276
8,Juventus,30,286,58.1,38,418,3.42,38.0,73,47,120,60,13,14,87,3,71.1,60.1,45.5,1056,879,1746,192,124,316,158,282,187,120,307,158,278
9,Lazio,27,279,50.4,38,418,3.42,38.0,77,45,122,62,15,18,99,2,68.0,53.9,42.5,964,935,1668,203,118,321,163,282,179,112,291,142,254
10,Lecce,30,287,44.8,38,418,3.42,38.0,52,30,82,41,11,15,98,5,54.7,43.5,32.6,761,752,1356,137,79,216,108,187,144,86,230,115,200
11,Milan,32,246,54.9,38,418,3.42,38.0,60,38,98,52,8,9,97,6,62.8,56.0,46.0,1019,816,1717,158,100,258,137,237,165,121,286,147,268
12,Napoli,25,269,59.2,38,418,3.42,38.0,60,45,105,55,5,5,73,2,61.7,57.8,46.8,1046,979,2024,158,118,276,145,263,162,123,285,152,275
13,Parma,25,288,43.8,38,418,3.42,38.0,53,38,91,49,4,6,81,1,48.4,43.7,33.9,776,673,1227,139,100,239,129,229,127,89,217,115,204
14,Roma,31,269,52.7,38,418,3.42,38.0,73,47,120,61,12,14,111,7,73.2,62.8,48.6,1113,944,1651,192,124,316,161,284,193,128,321,165,293
15,Sampdoria,31,260,42.7,38,418,3.42,38.0,48,25,73,39,9,12,111,7,50.2,40.8,30.8,716,613,1369,126,66,192,103,168,132,81,213,107,189
16,Sassuolo,31,264,57.5,38,418,3.42,38.0,69,49,118,64,5,6,99,3,52.9,48.2,39.2,874,902,1590,182,129,311,168,297,139,103,242,127,230
17,SPAL,34,275,46.9,38,418,3.42,38.0,27,17,44,22,5,7,98,4,40.7,35.2,26.5,617,696,1236,71,45,116,58,103,107,70,177,93,162
18,Torino,27,273,47.4,38,418,3.42,38.0,44,29,73,37,7,8,96,7,44.8,39.4,30.3,696,843,1220,116,76,192,97,174,118,80,198,104,183
19,Udinese,25,265,44.7,38,418,3.42,38.0,37,26,63,37,0,0,77,3,41.6,41.6,33.5,752,709,1274,97,68,166,97,166,110,88,198,110,198
