,Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
0,Alavés,3,38,38,3.418,38.0,59,155,161,99,708,10,9,19,9,237,15,12,3,0,200
1,Athletic Club,2,38,38,3.416,38.0,38,100,128,92,742,13,12,13,12,316,7,5,0,2,0
2,Atlético Madrid,2,38,38,3.42,38.0,27,71,112,88,786,18,16,4,17,447,4,3,0,1,0
3,Barcelona,2,38,38,3.42,38.0,38,100,119,80,731,25,7,6,15,395,7,6,1,0,143
4,Betis,2,38,38,3.418,38.0,60,158,154,95,682,10,11,17,6,158,11,11,0,0,0
5,Celta Vigo,3,38,38,3.42,38.0,49,129,149,100,705,7,16,15,12,316,5,5,0,0,0
6,Eibar,2,38,38,3.42,38.0,56,147,138,81,623,11,9,18,11,289,6,4,2,0,333
7,Espanyol,2,38,38,3.412,38.0,58,153,163,106,681,5,10,23,6,158,7,6,1,0,143
8,Getafe,1,38,38,3.42,38.0,37,97,109,73,706,14,12,12,15,395,6,5,1,0,167
9,Granada,2,38,38,3.42,38.0,45,118,156,110,737,16,8,14,13,342,5,4,1,0,200
10,Leganés,2,38,38,3.419,38.0,51,134,138,87,674,8,12,18,9,237,7,6,1,0,143
11,Levante,2,38,38,3.42,38.0,53,139,215,161,767,14,7,17,6,158,6,3,2,1,400
12,Mallorca,3,38,38,3.42,38.0,65,171,190,125,737,9,6,23,5,132,16,15,1,0,63
13,Osasuna,3,38,38,3.418,38.0,54,142,143,89,657,13,13,12,11,289,5,5,0,0,0
14,Real Madrid,2,38,38,3.42,38.0,25,66,110,85,791,26,9,3,19,500,2,2,0,0,0
15,Real Sociedad,2,38,38,3.42,38.0,48,126,144,96,715,16,8,14,9,237,9,7,1,1,125
16,Sevilla,2,38,38,3.42,38.0,34,89,117,83,735,19,13,6,17,447,4,3,1,0,250
17,Valencia,2,38,38,3.42,38.0,53,139,190,136,758,14,11,13,8,211,9,7,2,0,222
18,Valladolid,3,38,38,3.42,38.0,43,113,139,95,741,9,15,14,12,316,8,7,1,0,125
19,Villarreal,2,38,38,3.42,38.0,49,129,164,116,750,18,6,14,12,316,9,8,1,0,111
