,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Alavés,9612,13973,68.8,182169,82570,4283,5328,80.4,3614,4788,75.5,1385,2920,47.4,20,26.9,22.0,-6.9,236,723,171,56,944
1,Athletic Club,12533,16915,74.1,234527,90251,5521,6494,85.0,4692,5831,80.5,1830,3367,54.4,23,26.2,25.2,-3.2,277,967,217,85,1291
2,Atlético Madrid,13595,17765,76.5,221969,88361,6783,7777,87.2,4581,5696,80.4,1344,2676,50.2,35,39.4,37.1,-4.4,330,904,289,49,1333
3,Barcelona,24758,28227,87.7,391043,120014,12607,13663,92.3,9115,9972,91.4,1889,2618,72.2,62,49.5,51.2,12.5,384,1827,417,31,2042
4,Betis,16182,19823,81.6,284815,94491,7354,8220,89.5,6504,7416,87.7,1774,2986,59.4,35,36.9,33.8,-1.9,360,1015,322,84,1475
5,Celta Vigo,14552,18557,78.4,249113,90321,6742,7687,87.7,5746,6750,85.1,1422,2704,52.6,26,26.2,26.2,-0.2,279,970,253,60,1364
6,Eibar,10439,15551,67.1,207816,83924,4422,5456,81.0,4008,5354,74.9,1713,3829,44.7,24,26.0,26.3,-2.0,292,1007,224,108,1265
7,Espanyol,11881,16363,72.6,224795,87287,4830,5791,83.4,5174,6369,81.2,1528,3235,47.2,17,27.3,26.7,-10.3,283,962,222,86,1240
8,Getafe,8319,13715,60.7,165204,78265,3535,4713,75.0,2977,4408,67.5,1466,3508,41.8,31,27.9,26.6,3.1,284,970,275,130,1196
9,Granada,9810,14105,69.5,190418,79655,3970,4840,82.0,3979,5089,78.2,1486,3136,47.4,34,30.5,26.2,3.5,275,822,176,69,1009
10,Leganés,10336,14838,69.7,189358,81026,4801,5718,84.0,3782,4953,76.4,1390,3161,44.0,19,27.7,25.4,-8.7,292,890,223,95,1165
11,Levante,12415,16332,76.0,226838,91955,5677,6494,87.4,4771,5765,82.8,1611,3073,52.4,28,36.3,27.2,-8.3,326,983,253,75,1358
12,Mallorca,11782,15636,75.4,202286,85060,5648,6558,86.1,4220,5197,81.2,1275,2576,49.5,21,25.4,26.6,-4.4,309,831,211,73,1210
13,Osasuna,10959,15904,68.9,208476,88813,4772,5858,81.5,4189,5547,75.5,1654,3435,48.2,26,34.4,29.5,-8.4,341,946,267,94,1359
14,Real Madrid,20107,23733,84.7,352395,113608,9829,10697,91.9,7274,8243,88.2,2405,3556,67.6,52,49.9,47.3,2.1,438,1548,400,100,1972
15,Real Sociedad,15989,20229,79.0,284541,99278,6898,7968,86.6,7100,8250,86.1,1568,2851,55.0,38,35.4,34.4,2.6,323,1136,327,86,1588
16,Sevilla,17525,21733,80.6,319775,106262,7645,8604,88.9,7011,8197,85.5,2222,3526,63.0,35,38.4,39.4,-3.4,359,1272,343,110,1823
17,Valencia,14490,18258,79.4,261347,90968,6320,7145,88.5,5926,6878,86.2,1705,3096,55.1,34,31.7,29.7,2.3,253,974,273,59,1378
18,Valladolid,11187,15457,72.4,210278,81923,4901,5779,84.8,4401,5426,81.1,1531,3230,47.4,19,24.0,20.5,-5.0,254,841,155,57,1106
19,Villarreal,16218,20045,80.9,294996,98849,7011,7907,88.7,6626,7599,87.2,2025,3322,61.0,40,43.1,37.4,-3.1,368,1112,276,75,1483
