,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Real Madrid,38,26,9,3,70,25,45,87,2.29,67.9,33.3,34.6,0.91,45833
1,2,Barcelona,38,25,7,6,86,38,48,82,2.16,66.3,38.3,28.0,0.74,54223
2,3,Atlético Madrid,38,18,16,4,51,27,24,70,1.84,56.8,32.5,24.4,0.64,42236
3,4,Sevilla,38,19,13,6,54,34,20,70,1.84,53.2,36.1,17.1,0.45,25016
4,5,Villarreal,38,18,6,14,63,49,14,60,1.58,63.6,46.3,17.3,0.45,11321
5,6,Real Sociedad,38,16,8,14,56,48,8,56,1.47,48.9,43.0,5.8,0.15,21204
6,7,Granada,38,16,8,14,52,45,7,56,1.47,44.9,42.6,2.3,0.06,11174
7,8,Getafe,38,14,12,12,43,37,6,54,1.42,41.6,41.4,0.2,0.0,8000
8,9,Valencia,38,14,11,13,46,53,-7,53,1.39,43.3,56.0,-12.7,-0.33,29658
9,10,Osasuna,38,13,13,12,46,54,-8,52,1.37,49.4,49.4,0.1,0.0,11453
10,11,Athletic Club,38,13,12,13,41,38,3,51,1.34,41.5,48.8,-7.3,-0.19,28039
11,12,Levante,38,14,7,17,47,53,-6,49,1.29,48.1,62.9,-14.8,-0.39,13196
12,13,Valladolid,38,9,15,14,32,43,-11,42,1.11,36.6,54.5,-18.0,-0.47,13580
13,14,Eibar,38,11,9,18,39,56,-17,42,1.11,42.0,53.0,-11.0,-0.29,4151
14,15,Betis,38,10,11,17,48,60,-12,41,1.08,51.0,54.8,-3.7,-0.1,35969
15,16,Alavés,38,10,9,19,34,59,-25,39,1.03,39.3,57.8,-18.5,-0.49,12177
16,17,Celta Vigo,38,7,16,15,37,49,-12,37,0.97,39.2,45.3,-6.1,-0.16,11995
17,18,Leganés,38,8,12,18,30,51,-21,36,0.95,39.9,42.8,-2.9,-0.08,7539
18,19,Mallorca,38,9,6,23,40,65,-25,33,0.87,41.1,63.5,-22.4,-0.59,10877
19,20,Espanyol,38,5,10,23,27,58,-31,25,0.66,38.6,51.0,-12.4,-0.33,16260
