,Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
0,Alavés,32,27.6,41.5,34,20,54,28,6,6,111,7,39.3,34.7,26.9,61.6,403,944
1,Athletic Club,26,26.7,48.7,40,23,63,32,8,10,90,2,41.5,33.8,26.2,60.0,604,1291
2,Atlético Madrid,30,26.1,48.6,50,35,85,44,6,8,93,3,56.8,50.6,39.4,90.0,598,1333
3,Barcelona,28,27.8,66.4,84,62,146,78,6,6,92,6,66.3,61.7,49.5,111.2,923,2042
4,Betis,27,27.5,56.7,48,35,83,42,6,8,108,9,51.0,45.2,36.9,82.0,834,1475
5,Celta Vigo,30,25.8,51.7,37,26,63,31,6,9,104,6,39.2,32.4,26.2,58.7,670,1364
6,Eibar,26,29.3,46.3,38,24,62,31,7,10,92,3,42.0,34.2,26.0,60.2,424,1265
7,Espanyol,31,27.7,47.4,25,17,42,21,4,4,107,9,38.6,35.6,27.3,62.9,561,1240
8,Getafe,30,27.5,45.0,42,31,73,36,6,7,135,5,41.6,36.1,27.9,64.0,416,1196
9,Granada,27,26.8,43.8,50,34,84,45,5,5,109,1,44.9,40.9,30.5,71.4,511,1009
10,Leganés,29,26.9,43.9,30,19,49,27,3,5,127,4,39.9,35.9,27.7,63.7,498,1165
11,Levante,29,27.7,48.3,45,28,73,40,5,5,79,5,48.1,44.2,36.3,80.5,711,1358
12,Mallorca,32,26.8,45.0,39,21,60,31,8,10,93,5,41.1,33.3,25.4,58.7,740,1210
13,Osasuna,31,27.7,47.4,46,26,72,38,8,8,110,6,49.4,43.2,34.4,77.6,562,1359
14,Real Madrid,26,27.6,58.8,69,52,121,58,11,11,82,4,67.9,59.2,49.9,109.1,951,1972
15,Real Sociedad,27,24.8,56.2,54,38,92,50,4,5,79,2,48.9,45.1,35.4,80.5,737,1588
16,Sevilla,26,27.7,57.9,53,35,88,46,7,7,97,1,53.2,47.9,38.4,86.3,803,1823
17,Valencia,28,27.0,49.0,45,34,79,40,5,8,80,8,43.3,37.2,31.7,68.9,671,1378
18,Valladolid,30,27.1,44.7,31,19,50,28,3,6,84,0,36.6,32.1,24.0,56.1,510,1106
19,Villarreal,25,27.6,52.9,62,40,102,52,10,11,78,1,63.6,55.2,43.1,98.3,694,1483
