,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Ath Paranaense,3,36,3,0,7,2,45.7,0.27,11.7,0.31
1,Atl Goianiense,2,45,6,0,2,1,46.7,0.26,2.7,0.07
2,Atlético Mineiro,3,45,2,0,4,0,47.4,0.33,2.4,0.06
3,Bahia,3,59,5,2,9,0,55.8,0.3,-3.2,-0.08
4,Botafogo (RJ),4,62,9,1,2,1,60.6,0.28,-0.4,-0.01
5,Ceará,2,51,10,1,5,0,54.0,0.25,3.0,0.08
6,Corinthians,2,45,4,2,5,1,47.6,0.26,3.6,0.1
7,Coritiba,2,54,7,0,5,3,59.4,0.28,8.4,0.22
8,Flamengo,4,48,3,2,7,2,38.4,0.25,-7.6,-0.2
9,Fluminense,2,42,5,0,2,1,45.2,0.31,4.2,0.11
10,Fortaleza,2,44,4,2,4,1,46.6,0.27,3.6,0.09
11,Goiás,2,63,5,0,10,2,62.7,0.28,1.7,0.04
12,Grêmio,3,40,10,0,5,0,42.8,0.25,2.8,0.07
13,Internacional,3,35,4,1,5,1,31.4,0.27,-2.6,-0.07
14,Palmeiras,3,37,5,2,4,2,40.1,0.26,5.1,0.13
15,Red Bull Bragantino,2,40,6,0,6,1,42.0,0.27,3.0,0.08
16,Santos,3,51,10,0,14,0,51.6,0.27,0.6,0.02
17,São Paulo,1,41,0,2,6,0,39.3,0.26,-1.7,-0.04
18,Sport Recife,2,50,5,1,8,4,53.8,0.26,7.8,0.2
19,Vasco da Gama,2,56,8,3,6,0,54.5,0.25,-1.5,-0.04
