,Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Ath Paranaense,41,38.0,16215,19615,827,318724,107278,6149,6919,889,7551,8389,900,2286,3515,650,27,32.6,27.3,-5.6,328,1352,232,65,1622
1,Atl Goianiense,35,38.0,12096,15836,764,238289,90067,4644,5483,847,5431,6458,841,1777,3084,576,31,34.2,28.0,-3.2,341,1171,252,86,1424
2,Atlético Mineiro,34,38.0,19269,23076,835,347849,119409,8182,9047,904,8987,10128,887,1860,3115,597,42,45.5,40.8,-3.5,465,1930,365,90,2219
3,Bahia,39,38.0,13366,16850,793,239213,90335,5853,6672,877,5805,6793,855,1412,2533,557,35,38.7,30.0,-3.7,384,1215,236,74,1506
4,Botafogo (RJ),45,38.0,13651,17068,800,256779,95809,5558,6277,885,6159,7174,859,1688,2861,590,17,34.1,32.0,-17.1,376,1187,271,92,1427
5,Ceará,34,38.0,11805,15342,769,219074,84145,5026,5824,863,4994,5972,836,1467,2709,542,37,36.4,28.3,0.6,338,1140,221,59,1344
6,Corinthians,36,38.0,14399,18282,788,261218,100791,6470,7425,871,6116,7187,851,1577,2860,551,34,31.6,28.5,2.4,356,1319,293,69,1639
7,Coritiba,47,38.0,13559,17018,797,256706,93172,5476,6199,883,6105,7060,865,1715,2921,587,21,27.2,22.5,-6.2,286,1051,214,69,1286
8,Flamengo,38,38.0,18680,22186,842,335228,112156,8135,9028,901,8417,9509,885,1853,2785,665,50,57.8,53.7,-7.8,437,1823,428,84,2171
9,Fluminense,37,38.0,13994,17500,800,251512,88418,6076,6892,882,6000,6972,861,1523,2669,571,34,27.9,28.2,6.1,320,1115,226,54,1349
10,Fortaleza,31,38.0,13999,17297,809,276704,95054,5066,5794,874,6755,7687,879,1941,3126,621,24,30.8,27.2,-6.8,312,1261,183,49,1396
11,Goiás,49,38.0,11101,14746,753,210674,86817,4764,5572,855,4545,5552,819,1510,2845,531,21,25.1,25.0,-4.1,295,952,176,68,1099
12,Grêmio,37,38.0,16727,20153,830,281227,98232,8258,9118,906,6532,7504,870,1473,2495,590,35,39.6,38.1,-4.6,389,1460,299,94,1598
13,Internacional,39,38.0,13561,17420,778,256209,87179,5500,6326,869,6146,7164,858,1672,3145,532,40,35.4,31.9,4.6,328,1174,241,94,1391
14,Palmeiras,36,38.0,15040,18595,809,286751,102277,5966,6717,888,6863,7840,875,1919,3230,594,33,37.1,30.7,-4.1,384,1327,258,66,1606
15,Red Bull Bragantino,35,38.0,13616,17374,784,254054,98626,5648,6481,871,6119,7200,850,1591,2897,549,35,36.6,37.2,-1.6,439,1346,280,77,1669
16,Santos,40,38.0,12965,16493,786,241644,87450,5129,5898,870,6048,7066,856,1520,2772,548,32,32.3,32.3,-0.3,299,969,217,90,1346
17,São Paulo,28,38.0,17906,21467,834,301619,103261,8908,9750,914,7093,8050,881,1530,2680,571,36,36.2,33.5,-0.2,397,1462,331,125,1692
18,Sport Recife,38,38.0,12552,16277,771,225278,84727,5563,6378,872,5311,6282,845,1332,2700,493,18,21.2,23.1,-3.2,265,1036,224,77,1347
19,Vasco da Gama,34,38.0,13390,16783,798,244914,85275,5642,6432,877,5914,6844,864,1498,2646,566,20,26.8,24.1,-6.8,279,1082,186,60,1294
