,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Arsenal,3,39,2,0,3,4,36.0,0.26,1.0,0.03
1,Aston Villa,1,46,5,2,4,1,49.2,0.24,4.2,0.11
2,Brighton,2,46,6,0,8,2,35.9,0.24,-8.1,-0.21
3,Burnley,3,55,3,0,8,1,49.1,0.26,-4.9,-0.13
4,Chelsea,3,36,3,1,5,1,31.4,0.26,-3.6,-0.1
5,Crystal Palace,2,66,3,1,9,0,51.2,0.28,-14.8,-0.39
6,Everton,3,48,3,1,5,1,47.8,0.28,0.8,0.02
7,Fulham,2,53,7,0,3,1,54.5,0.29,2.5,0.07
8,Leeds United,2,54,8,1,11,2,49.9,0.21,-2.1,-0.06
9,Leicester City,1,50,4,0,9,2,42.2,0.29,-5.8,-0.15
10,Liverpool,3,42,4,1,6,0,43.9,0.29,1.9,0.05
11,Manchester City,3,32,8,0,3,1,32.0,0.23,1.0,0.03
12,Manchester Utd,2,44,4,1,9,2,39.3,0.25,-2.7,-0.07
13,Newcastle Utd,2,62,4,1,4,3,53.8,0.26,-5.2,-0.14
14,Sheffield Utd,1,63,3,0,8,3,54.3,0.26,-5.7,-0.15
15,Southampton,2,68,8,1,3,1,56.2,0.27,-10.8,-0.28
16,Tottenham,1,45,10,0,3,3,45.6,0.24,3.6,0.1
17,West Brom,2,76,7,2,8,3,68.0,0.25,-5.0,-0.13
18,West Ham,2,47,3,0,7,4,42.0,0.27,-1.0,-0.03
19,Wolves,2,52,7,1,9,3,46.2,0.25,-2.8,-0.07
