,Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
0,Arsenal,3,38,38,3.417,38.0,39,103,129,93,713,18,7,13,12,316,3,2,1,0,333
1,Aston Villa,1,38,38,3.42,38.0,46,121,186,133,780,16,7,15,15,395,6,5,1,0,167
2,Brighton,2,38,38,3.42,38.0,46,121,125,81,680,9,14,15,12,316,7,6,0,1,0
3,Burnley,3,38,38,3.42,38.0,55,145,179,125,709,10,9,19,11,289,3,3,0,0,0
4,Chelsea,3,38,38,3.42,38.0,36,95,107,71,692,19,10,9,18,474,4,3,1,0,250
5,Crystal Palace,2,38,38,3.42,38.0,66,174,174,107,638,12,8,18,8,211,4,3,1,0,250
6,Everton,3,38,38,3.42,38.0,48,126,161,114,720,17,8,13,12,316,4,3,0,1,0
7,Fulham,2,38,38,3.42,38.0,53,139,170,118,729,5,13,20,9,237,7,7,0,0,0
8,Leeds United,2,38,38,3.42,38.0,54,142,198,145,768,18,5,15,12,316,9,8,1,0,111
9,Leicester City,1,38,38,3.42,38.0,50,132,136,88,662,20,6,12,11,289,4,4,0,0,0
10,Liverpool,3,38,38,3.42,38.0,42,111,140,97,729,20,9,9,12,316,8,4,1,3,200
11,Manchester City,3,38,38,3.42,38.0,32,84,100,67,760,27,5,6,19,500,10,8,2,0,200
12,Manchester Utd,2,38,38,3.42,38.0,44,116,141,98,716,21,11,6,13,342,4,4,0,0,0
13,Newcastle Utd,2,38,38,3.42,38.0,62,163,188,128,691,12,9,17,7,184,5,4,1,0,200
14,Sheffield Utd,1,38,38,3.42,38.0,63,166,206,145,709,7,2,29,5,132,4,3,0,1,0
15,Southampton,2,38,38,3.42,38.0,68,179,178,110,663,12,7,19,9,237,9,8,1,0,111
16,Tottenham,1,38,38,3.42,38.0,45,118,155,113,774,18,8,12,12,316,10,10,0,0,0
17,West Brom,2,38,38,3.42,38.0,76,200,240,166,713,5,11,22,6,158,11,7,1,3,125
18,West Ham,2,38,38,3.42,38.0,47,124,147,103,701,19,8,11,11,289,5,3,1,1,250
19,Wolves,2,38,38,3.42,38.0,52,137,152,102,704,12,9,17,10,263,8,7,1,0,125
