,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Arsenal,813,21.39,623,44,49,45,46,6,95,2.5,69,2,8,6,8,2
1,Aston Villa,940,24.74,670,91,63,47,58,11,94,2.47,66,8,4,6,9,1
2,Brighton,847,22.29,628,75,34,55,42,13,63,1.66,47,6,1,4,5,0
3,Burnley,666,17.53,471,71,28,36,51,9,52,1.37,32,6,4,3,5,2
4,Chelsea,1018,26.79,790,81,42,55,43,7,95,2.5,69,6,4,6,10,0
5,Crystal Palace,618,16.26,433,54,52,23,46,10,70,1.84,49,5,6,3,5,2
6,Everton,710,18.68,514,67,34,43,46,6,80,2.11,54,9,2,10,5,0
7,Fulham,785,20.66,579,65,53,35,47,6,47,1.24,33,2,4,3,4,1
8,Leeds United,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0
9,Leicester City,863,22.71,635,49,56,46,54,23,114,3.0,85,3,8,4,10,4
10,Liverpool,1068,28.11,818,71,58,61,46,14,110,2.89,77,6,4,14,6,3
11,Manchester City,1067,28.08,801,61,90,57,43,15,141,3.71,100,3,17,13,6,2
12,Manchester Utd,953,25.08,720,73,46,58,46,10,127,3.34,94,5,8,9,9,2
13,Newcastle Utd,688,18.11,454,85,51,36,56,6,75,1.97,46,7,6,7,7,2
14,Sheffield Utd,567,14.92,435,48,27,29,23,5,27,0.71,16,3,2,3,3,0
15,Southampton,728,19.16,513,63,42,47,51,12,83,2.18,49,8,6,7,11,2
16,Tottenham,786,20.68,553,55,56,49,56,17,120,3.16,86,6,13,8,6,1
17,West Brom,568,14.95,407,60,26,27,39,9,53,1.39,40,3,1,3,5,1
18,West Ham,823,21.66,576,92,37,56,53,9,106,2.79,73,12,1,13,7,0
19,Wolves,821,21.61,572,74,68,47,46,14,63,1.66,39,4,7,7,5,1
