,Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arsenal,29,38.0,18041,21807,827,306094,93540,8319,9236,901,7770,8814,882,1453,2621,554,38,35.1,35.3,2.9,332,1377,325,67,1760
1,Aston Villa,24,38.0,12938,16996,761,235927,93009,5729,6654,861,5222,6209,841,1571,3074,511,38,37.4,31.4,0.6,403,1086,323,76,1420
2,Brighton,27,38.0,15772,19871,794,283213,95248,6694,7654,875,6893,7960,866,1689,3090,547,24,33.2,34.9,-9.2,358,1132,358,80,1516
3,Burnley,25,38.0,10825,15562,696,196816,82192,5117,6058,845,3688,4824,765,1553,3535,439,20,27.7,26.9,-7.7,267,923,292,80,1012
4,Chelsea,27,38.0,21969,25799,852,360450,112392,10454,11454,913,8965,9976,899,1667,2703,617,38,41.5,37.1,-3.5,448,1441,377,70,1798
5,Crystal Palace,24,38.0,11627,15597,745,193706,81274,5889,6882,856,4127,5088,811,1131,2449,462,29,23.6,23.4,5.4,264,838,232,54,1132
6,Everton,29,38.0,14792,18696,791,263227,93921,6563,7438,882,6125,7073,866,1580,2924,540,32,30.7,28.7,1.3,300,944,257,60,1184
7,Fulham,28,38.0,15401,19512,789,270640,94395,6853,7837,874,6528,7611,858,1529,2866,533,18,26.3,25.3,-8.3,334,1019,290,94,1354
8,Leeds United,23,38.0,16284,20629,789,286488,99274,6970,7933,879,7130,8308,858,1631,3014,541,45,41.9,34.4,3.1,394,1110,349,68,1633
9,Leicester City,27,38.0,17014,21216,802,285395,94092,7893,8978,879,7010,8113,864,1461,2737,534,45,33.7,30.1,11.3,360,1209,283,57,1464
10,Liverpool,28,38.0,21929,26226,836,360990,115400,10789,11862,910,8747,9940,880,1715,2969,578,43,48.3,45.6,-5.3,455,1608,524,82,2057
11,Manchester City,24,38.0,23819,27167,877,390212,110951,11548,12409,931,9673,10628,910,1771,2616,677,55,45.4,43.3,9.6,433,1772,412,41,2051
12,Manchester Utd,29,38.0,18800,22624,831,310438,100811,9248,10259,901,7258,8255,879,1597,2585,618,51,41.6,38.2,9.4,414,1419,377,54,1832
13,Newcastle Utd,27,38.0,10839,14709,737,197161,77098,4828,5635,857,4197,5131,818,1387,2879,482,26,29.0,21.1,-3.0,289,739,207,83,903
14,Sheffield Utd,27,38.0,12146,16264,747,207510,78589,6006,6905,870,4331,5303,817,1277,2840,450,13,24.9,22.0,-11.9,253,946,253,65,1196
15,Southampton,29,38.0,14928,19288,774,239028,85450,7587,8659,876,5629,6690,841,1099,2547,431,33,25.8,22.2,7.2,294,894,261,36,1195
16,Tottenham,24,38.0,16508,20571,802,274912,94098,7801,8828,884,6561,7603,863,1393,2672,521,50,35.3,25.3,14.7,316,1035,257,54,1330
17,West Brom,30,38.0,9769,13978,699,177501,75746,4418,5278,837,3696,4783,773,1273,2924,435,20,24.4,21.3,-4.4,241,822,196,60,1027
18,West Ham,24,38.0,12725,16901,753,225666,88791,5888,6864,858,4948,6052,818,1470,2860,514,46,39.6,31.9,6.4,340,1037,238,95,1282
19,Wolves,27,38.0,15548,19225,809,275061,93014,6990,7796,897,6320,7342,861,1742,2944,592,21,24.1,23.9,-3.1,345,1117,213,85,1283
