,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro
0,1,Manchester City,38,27,5,6,83,32,51,86,226,68.2,30.2,38.0,100,526,İlkay Gündoğan - 13,Ederson
1,2,Manchester Utd,38,21,11,6,73,44,29,74,195,60.1,41.4,18.6,49,526,Bruno Fernandes - 18,David de Gea
2,3,Liverpool,38,20,9,9,68,42,26,69,182,67.5,43.0,24.5,65,837,Mohamed Salah - 22,Alisson
3,4,Chelsea,38,19,10,9,58,36,22,67,176,62.4,30.3,32.1,85,526,Jorginho - 7,Edouard Mendy
4,5,Leicester City,38,20,6,12,68,50,18,66,174,55.8,46.0,9.8,26,421,Jamie Vardy - 15,Kasper Schmeichel
5,6,West Ham,38,19,8,11,62,47,15,65,171,55.4,48.7,6.7,18,632,"Michail Antonio, Tomáš Souček - 10",Łukasz Fabiański
6,7,Tottenham,38,18,8,12,68,45,23,62,163,53.1,49.1,4.0,10,632,Harry Kane - 23,Hugo Lloris
7,8,Arsenal,38,18,7,13,55,39,16,61,161,51.7,43.0,8.8,23,632,Alexandre Lacazette - 13,Bernd Leno
8,9,Leeds United,38,18,5,15,62,54,8,59,155,55.6,57.9,-2.2,-6,421,Patrick Bamford - 17,Illan Meslier
9,10,Everton,38,17,8,13,47,48,-1,59,155,45.7,50.1,-4.5,-12,368,Dominic Calvert-Lewin - 16,Jordan Pickford
10,11,Aston Villa,38,16,7,15,55,46,9,55,145,52.5,51.1,1.4,4,526,Ollie Watkins - 14,Emiliano Martínez
11,12,Newcastle Utd,38,12,9,17,46,62,-16,45,118,43.4,58.3,-14.9,-39,526,Callum Wilson - 12,Karl Darlow
12,13,Wolves,38,12,9,17,36,52,-16,45,118,36.5,49.5,-13.0,-34,237,"Rúben Neves, Pedro Neto - 5",Rui Patrício
13,14,Crystal Palace,38,12,8,18,41,66,-25,44,116,34.1,58.2,-24.2,-64,447,Wilfried Zaha - 11,Vicente Guaita
14,15,Southampton,38,12,7,19,47,68,-21,43,113,41.2,53.1,-11.8,-31,526,Danny Ings - 12,Alex McCarthy
15,16,Brighton,38,9,14,15,40,46,-6,41,108,50.9,35.3,15.6,41,523,Neal Maupay - 8,Robert Sánchez
16,17,Burnley,38,10,9,19,33,55,-22,39,103,39.3,54.7,-15.4,-40,178,Chris Wood - 12,Nick Pope
17,18,Fulham,38,5,13,20,27,53,-26,28,74,40.5,52.6,-12.1,-32,211,Bobby Reid - 5,Alphonse Areola
18,19,West Brom,38,5,11,22,35,76,-41,26,68,35.8,67.9,-32.0,-84,283,Matheus Pereira - 11,Sam Johnstone
19,20,Sheffield Utd,38,7,2,29,20,63,-43,23,61,32.6,62.2,-29.6,-78,263,David McGoldrick - 8,Aaron Ramsdale
