,Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
0,Alavés,30,38.0,499,292,263,181,55,197,565,349,368,341,90,251,427,926,766,8
1,Athletic Club,27,38.0,462,269,194,200,68,168,516,326,348,341,74,267,344,806,684,9
2,Atlético Madrid,25,38.0,622,367,291,253,78,296,631,469,335,361,83,278,386,1008,671,7
3,Barcelona,25,38.0,499,293,223,195,81,224,522,429,298,325,70,255,361,860,429,16
4,Betis,25,38.0,556,315,274,221,61,211,556,379,345,362,74,288,453,1009,687,11
5,Cádiz,34,38.0,573,317,305,216,52,247,607,407,360,368,99,269,437,1010,788,8
6,Celta Vigo,30,38.0,662,368,332,259,71,238,694,343,456,399,89,310,405,1067,751,12
7,Eibar,30,38.0,514,309,228,204,82,203,518,392,315,360,63,297,434,948,593,11
8,Elche,30,38.0,551,336,324,189,38,210,577,364,367,357,97,260,386,937,689,10
9,Getafe,31,38.0,579,352,232,276,71,241,619,389,378,361,53,308,393,972,615,4
10,Granada,34,38.0,499,279,226,213,60,185,468,395,283,388,128,260,392,891,764,7
11,Huesca,27,38.0,556,321,309,191,56,239,579,413,340,342,83,259,437,993,616,7
12,Levante,29,38.0,511,282,268,188,55,208,543,383,335,335,93,242,435,946,681,15
13,Osasuna,28,38.0,524,281,223,217,84,224,552,406,328,349,100,249,392,916,774,7
14,Real Madrid,30,38.0,531,318,266,188,77,192,532,361,340,344,83,261,398,929,544,12
15,Real Sociedad,30,38.0,547,322,240,227,80,200,480,417,280,353,96,257,315,862,563,5
16,Sevilla,26,38.0,492,297,220,200,72,184,510,361,326,310,90,220,362,854,636,10
17,Valencia,30,38.0,463,277,241,163,59,198,592,334,394,372,123,249,392,855,785,12
18,Valladolid,32,38.0,559,321,285,208,66,247,681,363,434,379,102,277,431,990,812,9
19,Villarreal,29,38.0,539,313,256,205,78,239,588,406,349,358,101,257,371,910,638,17
