,Equipe,# J,90s,CrtsA,CrtV,2CrdY,Fts,FltsP,Desativado,Crz,Crts,TklW,Pênaltis convertidos,PKcon,OG,Recuperação,Ganhos,Perdas,Ganhos%
0,Alavés,30,38.0,96,8,5,513,487,73,645,427,292,5,3,0,1737,831,602,580
1,Athletic Club,27,38.0,82,3,1,483,477,77,812,344,269,5,6,1,1836,656,601,522
2,Atlético Madrid,25,38.0,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,524
3,Barcelona,25,38.0,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,555
4,Betis,25,38.0,93,8,4,521,483,65,586,453,315,9,10,3,1938,613,628,494
5,Cádiz,34,38.0,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,477
6,Celta Vigo,30,38.0,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,477
7,Eibar,30,38.0,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,498
8,Elche,30,38.0,99,3,2,527,456,51,672,386,336,1,10,1,1811,488,539,475
9,Getafe,31,38.0,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,470
10,Granada,34,38.0,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,442
11,Huesca,27,38.0,69,2,1,528,518,101,824,437,321,2,5,2,1876,580,598,492
12,Levante,29,38.0,68,1,0,509,397,69,697,435,282,5,4,2,2023,455,522,466
13,Osasuna,28,38.0,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,553
14,Real Madrid,30,38.0,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,538
15,Real Sociedad,30,38.0,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,498
16,Sevilla,26,38.0,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,535
17,Valencia,30,38.0,82,5,3,459,525,90,613,392,277,6,8,2,1832,602,575,511
18,Valladolid,32,38.0,93,4,0,510,510,75,744,431,321,8,7,0,1922,628,818,434
19,Villarreal,29,38.0,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,496
