,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,Alavés,30,42.8,38.0,18193,2104,6503,8084,3788,575,18185,467,254,544,214,458,8988,44447,20940,404,315,104,557,256,10112,925
1,Athletic Club,27,49.9,38.0,21410,1921,5863,10255,5481,675,21405,501,304,607,197,393,11152,64941,35151,685,510,147,496,335,13475,1477
2,Atlético Madrid,25,52.3,38.0,24561,1967,6777,12025,5937,894,24555,588,374,636,214,364,13675,67513,36112,694,483,190,503,342,16649,1598
3,Barcelona,25,65.5,38.0,31975,2240,7299,14908,9965,1217,31967,770,513,666,257,334,21041,104783,56158,972,930,276,477,341,25052,2144
4,Betis,25,53.6,38.0,23649,2104,6950,11175,5734,790,23638,638,420,658,218,342,13277,66819,34529,694,547,172,592,367,15683,1427
5,Cádiz,34,34.8,38.0,15979,2120,5874,6716,3599,438,15975,513,321,626,192,374,7256,41528,20734,455,358,79,561,294,7858,838
6,Celta Vigo,30,53.3,38.0,23271,2443,7999,10717,4742,593,23264,465,276,594,189,406,13162,62213,31151,514,431,109,533,279,15059,1299
7,Eibar,30,49.3,38.0,20828,1764,5553,9562,5924,671,20818,519,320,617,199,383,10427,53688,24394,507,374,102,657,320,11685,1282
8,Elche,30,47.5,38.0,20849,2572,8347,9141,3558,417,20846,618,365,591,253,409,11786,58689,28516,500,366,73,614,345,13378,920
9,Getafe,31,43.3,38.0,17678,1589,4689,7849,5367,669,17673,483,263,545,220,455,8137,43690,21035,443,390,116,607,354,8882,1076
10,Granada,34,41.4,38.0,17155,2133,6002,7387,3948,532,17149,516,312,605,204,395,8122,43889,21461,411,288,105,526,346,8979,961
11,Huesca,27,48.3,38.0,21269,2396,7957,9101,4468,594,21265,654,426,651,228,349,11728,65206,34026,618,452,113,540,305,13392,1173
12,Levante,29,52.2,38.0,21884,2410,7654,9503,4932,679,21878,615,366,595,248,403,12443,63705,33401,619,446,136,547,326,14070,1526
13,Osasuna,28,43.2,38.0,18965,2103,6010,8686,4447,623,18959,441,245,556,195,442,8688,42982,19734,345,315,64,588,310,10118,1200
14,Real Madrid,30,59.3,38.0,27856,2279,7913,12359,7814,1021,27853,646,429,664,216,334,17126,95094,49939,963,739,242,546,315,20538,1909
15,Real Sociedad,30,54.9,38.0,22622,2089,6527,10724,5580,823,22610,550,330,600,220,400,12816,70621,37154,626,492,125,518,311,14729,1530
16,Sevilla,26,60.9,38.0,26484,2495,8190,12249,6227,784,26477,599,392,654,207,346,15793,78270,38924,691,552,151,516,309,19128,1606
17,Valencia,30,46.9,38.0,20238,2575,7196,8735,4521,560,20228,553,341,617,212,383,11494,62746,32765,575,468,102,498,268,12659,1168
18,Valladolid,32,45.2,38.0,19403,2227,6559,8418,4627,558,19395,504,291,577,214,425,9720,52059,25666,564,423,112,524,328,11055,1089
19,Villarreal,29,55.2,38.0,24816,2442,7838,11470,5730,819,24803,692,437,632,255,368,14443,77491,41859,737,558,185,545,336,17313,1608
