,Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
0,Arminia,26,26.0,42.3,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880
1,Augsburg,25,27.0,41.4,35,23,58,33,2,5,71,4,37.3,33.4,25.9,59.3,431,987
2,Bayern Munich,29,27.3,60.7,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084
3,Dortmund,26,25.6,59.6,74,57,131,71,3,7,44,1,66.2,60.4,51.2,111.5,763,1745
4,Eint Frankfurt,25,27.2,53.7,63,52,115,55,8,8,82,1,58.5,52.2,44.0,96.2,664,1548
5,Freiburg,24,26.2,47.3,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170
6,Gladbach,23,26.9,51.7,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,613,1371
7,Hertha BSC,32,25.4,49.6,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176
8,Hoffenheim,30,25.7,51.2,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517
9,Köln,28,24.9,46.3,33,23,56,29,4,6,63,1,40.5,35.9,25.5,61.5,429,1131
10,Leverkusen,30,25.4,59.7,52,41,93,49,3,3,58,0,46.3,44.0,34.7,78.7,724,1522
11,Mainz 05,31,25.8,40.7,39,23,62,34,5,5,63,1,49.9,46.0,34.9,80.9,442,1046
12,RB Leipzig,25,25.0,59.7,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1719
13,Schalke 04,42,25.9,44.7,24,20,44,24,0,3,74,2,28.7,26.3,20.6,46.9,452,943
14,Stuttgart,29,24.1,51.5,54,42,96,48,6,8,65,2,51.4,45.1,37.1,82.2,701,1467
15,Union Berlin,27,27.3,44.9,50,39,89,45,5,7,57,2,46.9,41.3,33.4,74.7,464,1059
16,Werder Bremen,27,26.3,43.9,35,25,60,30,5,5,67,3,32.9,29.0,21.5,50.5,414,1065
17,Wolfsburg,26,25.6,51.1,57,48,105,55,2,3,58,3,49.0,46.9,37.7,84.5,595,1397
