,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,47,5,0,5,1,42.3,0.31,-3.7,-0.1
1,75,4,0,9,6,63.2,0.34,-5.8,-0.15
2,65,7,2,9,2,63.3,0.3,0.3,0.01
3,59,5,1,9,0,59.1,0.27,0.1,0.0
4,92,5,2,9,2,73.4,0.32,-16.6,-0.44
5,59,8,1,11,2,59.3,0.32,2.3,0.06
6,58,7,0,6,2,59.1,0.29,3.1,0.08
7,48,6,1,7,2,41.5,0.25,-4.5,-0.12
8,35,5,1,3,1,33.3,0.23,-0.7,-0.02
9,38,6,1,4,2,36.4,0.23,0.4,0.01
10,55,10,0,7,2,50.2,0.27,-2.8,-0.07
11,41,3,2,8,1,38.1,0.27,-1.9,-0.05
12,41,5,1,3,1,40.1,0.29,0.1,0.0
13,83,3,0,10,3,61.2,0.31,-18.8,-0.49
14,55,5,2,5,3,46.8,0.25,-5.2,-0.14
15,54,7,1,6,1,52.1,0.25,-0.9,-0.02
16,56,4,0,4,1,53.8,0.27,-1.2,-0.03
17,72,9,1,6,0,63.8,0.31,-8.2,-0.22
18,69,9,1,6,0,56.0,0.3,-13.0,-0.34
19,58,14,2,2,0,56.4,0.27,-1.6,-0.04
