,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Atalanta,18066,22063,81.9,310229,109918,8542,9641,88.6,7388,8505,86.9,1686,2744,61.4,65,55.5,49.1,9.5,487,1635,490,85,2077
1,Benevento,11573,15318,75.6,210156,81278,4998,5811,86.0,4745,5735,82.7,1419,2776,51.1,26,27.6,24.7,-1.6,300,762,270,85,1096
2,Bologna,14683,18539,79.2,256744,99247,6690,7649,87.5,5992,7098,84.4,1528,2648,57.7,38,39.0,29.3,-1.0,372,1193,262,60,1516
3,Cagliari,13040,16868,77.3,235900,89913,5808,6708,86.6,5346,6416,83.3,1542,2779,55.5,30,34.0,30.8,-4.0,317,967,276,91,1228
4,Crotone,13532,17229,78.5,245442,95255,5782,6594,87.7,6004,7014,85.6,1437,2695,53.3,27,23.9,22.1,3.1,269,862,224,68,1217
5,Fiorentina,13430,17136,78.4,246275,88848,5748,6592,87.2,5603,6571,85.3,1668,2930,56.9,31,31.6,28.0,-0.6,266,1130,245,93,1353
6,Genoa,13954,17948,77.7,246279,89499,6410,7297,87.8,5472,6511,84.0,1602,3000,53.4,32,26.4,19.4,5.6,249,920,226,74,1165
7,Hellas Verona,12926,17419,74.2,232123,85512,5724,6738,85.0,5450,6669,81.7,1405,2918,48.1,30,33.5,27.8,-3.5,304,1088,289,67,1490
8,Inter,18384,21624,85.0,321565,102857,8126,8970,90.6,7965,8842,90.1,1776,2636,67.4,62,52.5,46.5,9.5,422,1361,395,96,1707
9,Juventus,19839,23031,86.1,353120,113338,8475,9273,91.4,8934,9758,91.6,1969,2877,68.4,59,55.1,40.5,3.9,470,1454,356,89,1768
10,Lazio,16972,20795,81.6,304863,108222,7366,8356,88.2,7099,8110,87.5,2007,3161,63.5,40,39.6,34.6,0.4,391,1479,398,115,1688
11,Milan,15889,19459,81.7,275188,97709,7279,8168,89.1,6493,7406,87.7,1617,2709,59.7,47,43.9,40.1,3.1,408,1250,346,80,1483
12,Napoli,18892,22210,85.1,319926,104978,9198,10054,91.5,7244,8103,89.4,1879,2799,67.1,56,46.9,38.6,9.1,479,1325,363,69,1703
13,Parma,14837,18427,80.5,288732,105937,5771,6609,87.3,6553,7501,87.4,2179,3355,64.9,26,30.5,26.1,-4.5,286,1074,238,90,1319
14,Roma,16561,19977,82.9,303327,98451,6898,7773,88.7,7551,8390,90.0,1810,2923,61.9,51,48.2,37.1,2.8,395,1207,328,68,1583
15,Sampdoria,13423,17643,76.1,241858,92319,6023,7007,86.0,5353,6512,82.2,1630,3045,53.5,37,31.9,28.8,5.1,321,1006,265,76,1370
16,Sassuolo,20368,23660,86.1,329660,107912,10297,11141,92.4,7918,8787,90.1,1539,2467,62.4,36,34.0,31.0,2.0,381,1539,353,46,1746
17,Spezia,15563,19566,79.5,303340,99199,6095,6927,88.0,6763,7842,86.2,2379,3847,61.8,37,31.1,27.5,5.9,289,1132,253,69,1388
18,Torino,13369,17163,77.9,240588,86398,6122,6894,88.8,5209,6234,83.6,1675,3057,54.8,28,32.2,27.7,-4.2,309,958,236,96,1138
19,Udinese,13917,17414,79.9,242519,89246,6417,7237,88.7,5667,6618,85.6,1389,2492,55.7,30,30.0,27.7,0.0,294,1041,270,70,1405
