,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Alavés,2,57,1.5,142,85,62.0,9,11,18,9,23.7
1,Athletic Club,2,42,1.1,111,69,66.7,11,13,14,9,23.7
2,Atlético Madrid,1,25,0.7,122,98,80.3,26,8,4,18,47.4
3,Barcelona,2,38,1.0,130,94,74.6,24,7,7,14,36.8
4,Betis,2,50,1.3,136,87,69.1,17,10,11,13,34.2
5,Cádiz,3,58,1.5,150,91,67.3,11,11,16,10,26.3
6,Celta Vigo,2,57,1.5,138,81,63.8,14,11,13,9,23.7
7,Eibar,2,52,1.4,135,82,63.7,6,12,20,9,23.7
8,Elche,2,55,1.4,163,106,69.9,8,12,18,7,18.4
9,Getafe,2,43,1.1,111,70,67.6,9,11,18,14,36.8
10,Granada,3,65,1.7,170,101,65.3,13,7,18,9,23.7
11,Huesca,2,53,1.4,149,98,67.8,7,13,18,9,23.7
12,Levante,3,57,1.5,163,108,66.9,9,14,15,4,10.5
13,Osasuna,3,48,1.3,142,94,69.7,11,11,16,11,28.9
14,Real Madrid,1,28,0.7,116,88,81.9,25,9,4,17,44.7
15,Real Sociedad,1,38,1.0,105,67,66.7,17,11,10,14,36.8
16,Sevilla,2,33,0.9,120,87,75.8,24,5,9,17,44.7
17,Valencia,2,53,1.4,175,121,72.6,10,13,15,7,18.4
18,Valladolid,2,57,1.5,161,104,68.3,5,16,17,3,7.9
19,Villarreal,2,44,1.2,126,83,70.6,15,13,10,10,26.3
