,Equipe,# J,90s,Att,Em jogo,Parado,FK,TB,Sw,Crz,TI,CK,In,Fora,Reto,Cmp,Desativado,Bloqueios
0,Alavés,30,38.0,14388,12378,1937,595,11,144,645,800,142,42,68,4,10216,73,265
1,Athletic Club,27,38.0,17842,15738,2027,561,13,200,812,920,197,65,73,3,13578,77,377
2,Atlético Madrid,25,38.0,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302
3,Barcelona,25,38.0,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340
4,Betis,25,38.0,19679,17720,1894,598,18,163,586,774,184,48,82,2,15814,65,321
5,Cádiz,34,38.0,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282
6,Celta Vigo,30,38.0,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298
7,Eibar,30,38.0,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325
8,Elche,30,38.0,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322
9,Getafe,31,38.0,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322
10,Granada,34,38.0,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333
11,Huesca,27,38.0,17480,15449,1930,598,9,197,824,788,156,59,58,1,13507,101,321
12,Levante,29,38.0,18116,16222,1825,509,23,178,697,767,173,61,41,0,14190,69,370
13,Osasuna,28,38.0,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281
14,Real Madrid,30,38.0,24119,22248,1785,501,32,351,771,759,224,70,65,1,20652,86,346
15,Real Sociedad,30,38.0,18995,17052,1857,545,40,103,712,823,196,87,82,1,14915,86,369
16,Sevilla,26,38.0,22873,21025,1779,516,27,384,731,797,167,35,65,0,19248,69,301
17,Valencia,30,38.0,16480,14548,1842,584,22,218,613,666,163,58,51,2,12755,90,297
18,Valladolid,32,38.0,15385,13372,1938,571,20,193,744,796,145,53,39,1,11145,75,312
19,Villarreal,29,38.0,21129,19245,1796,539,47,178,579,711,160,58,33,1,17508,88,348
