,Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Alavés,30,38.0,10216,14388,710,196775,86618,4463,5484,814,4016,5139,781,1482,2923,507,21,27.4,21.0,-6.4,256,789,189,82,938
1,Athletic Club,27,38.0,13578,17842,761,251137,91456,5873,6901,851,5483,6607,830,1792,3120,574,31,31.3,27.9,-0.3,303,1054,284,79,1496
2,Atlético Madrid,25,38.0,16757,20680,810,276506,95008,8278,9219,898,5931,6995,848,1653,2869,576,54,40.6,38.8,13.4,347,1144,370,53,1604
3,Barcelona,25,38.0,25192,28488,884,384110,119170,13304,14257,933,9056,9893,915,1599,2287,699,51,53.2,63.6,-2.2,452,1874,517,52,2157
4,Betis,25,38.0,15814,19679,804,273398,94327,7403,8309,891,6096,7037,866,1672,3002,557,35,33.4,30.5,1.6,334,1048,298,80,1441
5,Cádiz,34,38.0,7949,12067,659,158876,72248,3244,4091,793,3064,4071,753,1319,2992,441,16,20.4,16.9,-4.4,196,653,152,73,854
6,Celta Vigo,30,38.0,15176,19318,786,263065,91357,6912,7946,870,6117,7188,851,1552,2914,533,39,36.7,32.0,2.3,267,978,248,48,1308
7,Eibar,30,38.0,11810,16890,699,234607,92605,4840,5844,828,4584,5965,768,2002,4026,497,20,29.9,28.5,-9.9,309,1119,254,118,1295
8,Elche,30,38.0,13481,17054,790,244074,94227,6028,6753,893,5307,6190,857,1652,3000,551,25,21.8,19.8,3.2,190,784,148,79,927
9,Getafe,31,38.0,8977,13863,648,170990,76315,4043,5155,784,3111,4340,717,1417,3219,440,14,23.6,24.0,-9.6,261,863,225,102,1090
10,Granada,34,38.0,9083,13336,681,173761,74249,3915,4776,820,3574,4629,772,1288,2951,436,30,26.8,22.6,3.2,224,813,173,58,975
11,Huesca,27,38.0,13507,17480,773,250921,87949,5692,6487,877,5785,6818,848,1679,3199,525,23,26.7,25.3,-3.7,295,898,221,113,1185
12,Levante,29,38.0,14190,18116,783,257005,95976,6356,7202,883,5760,6804,847,1694,3076,551,35,29.6,30.0,5.4,286,1087,306,83,1537
13,Osasuna,28,38.0,10233,15031,681,201352,91555,4401,5541,794,3869,5149,751,1649,3329,495,25,24.9,27.9,0.1,259,968,261,101,1220
14,Real Madrid,30,38.0,20652,24119,856,352965,111437,9790,10620,922,7728,8593,899,2214,3224,687,53,47.4,48.8,5.6,438,1525,401,77,1920
15,Real Sociedad,30,38.0,14915,18995,785,264692,91984,6592,7589,869,6282,7368,853,1582,2840,557,39,39.6,39.7,-0.6,308,1100,343,64,1554
16,Sevilla,26,38.0,19248,22873,842,342985,106478,8654,9471,914,7775,8720,892,2190,3442,636,36,41.0,40.1,-5.0,387,1234,346,122,1627
17,Valencia,30,38.0,12755,16480,774,241622,89245,5332,6142,868,5304,6236,851,1735,3073,565,35,27.3,24.8,7.7,283,926,239,62,1180
18,Valladolid,32,38.0,11145,15385,724,206105,80260,4972,5863,848,4299,5283,814,1489,3187,467,21,24.2,25.7,-3.2,263,873,213,90,1101
19,Villarreal,29,38.0,17508,21129,829,305401,104843,8074,8963,901,7097,8015,885,1788,2857,626,33,40.5,40.7,-7.5,317,1175,358,81,1628
