,Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Alavés,30,287,42.8,38,418,3.42,38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,637,404,938,92,55,147,79,134,112,72,184,96,168
1,Athletic Club,27,266,49.9,38,418,3.42,38.0,43,31,74,39,4,5,82,3,43.1,39.2,31.3,705,685,1496,113,82,195,103,184,113,82,196,103,186
2,Atlético Madrid,25,273,52.3,38,418,3.42,38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,878,694,1604,171,142,313,158,300,139,107,246,124,231
3,Barcelona,25,264,65.5,38,418,3.42,38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,1202,972,2157,211,134,345,200,334,194,140,333,177,316
4,Betis,25,279,53.6,38,418,3.42,38.0,50,35,85,42,8,11,93,8,49.1,40.5,33.4,739,694,1441,132,92,224,111,203,129,88,217,107,194
5,Cádiz,34,288,34.8,38,418,3.42,38.0,33,16,49,29,4,4,81,3,34.7,31.6,20.4,520,455,854,87,42,129,76,118,91,54,145,83,137
6,Celta Vigo,30,266,53.3,38,418,3.42,38.0,55,39,94,48,7,7,109,5,50.4,44.9,36.7,816,514,1308,145,103,247,126,229,133,97,229,118,215
7,Eibar,30,282,49.3,38,418,3.42,38.0,29,20,49,25,4,9,71,3,45.2,38.3,29.9,682,507,1295,76,53,129,66,118,119,79,198,101,179
8,Elche,30,281,47.5,38,418,3.42,38.0,33,25,58,31,2,3,99,3,29.9,27.5,21.8,494,500,927,87,66,153,82,147,79,57,136,72,130
9,Getafe,31,267,43.3,38,418,3.42,38.0,27,14,41,24,3,5,120,7,34.4,30.5,23.6,541,443,1090,71,37,108,63,100,91,62,153,80,142
10,Granada,34,274,41.4,38,418,3.42,38.0,47,30,77,44,3,5,97,6,41.1,37.3,26.8,640,411,975,124,79,203,116,195,108,70,179,98,168
11,Huesca,27,280,48.3,38,418,3.42,38.0,32,23,55,29,3,4,69,2,38.9,36.1,26.7,628,618,1185,84,61,145,76,137,102,70,173,95,165
12,Levante,29,280,52.2,38,418,3.42,38.0,45,35,80,42,3,6,68,1,40.4,35.7,29.6,653,619,1537,118,92,211,111,203,106,78,184,94,172
13,Osasuna,28,279,43.2,38,418,3.42,38.0,36,25,61,31,5,6,80,5,38.7,34.7,24.9,597,345,1220,95,66,161,82,147,102,66,168,91,157
14,Real Madrid,30,279,59.3,38,418,3.42,38.0,64,53,117,61,3,3,59,2,61.5,59.2,47.4,1065,963,1920,168,139,308,161,300,162,125,287,156,280
15,Real Sociedad,30,250,54.9,38,418,3.42,38.0,58,39,97,49,9,12,81,1,60.7,51.5,39.6,911,626,1554,153,103,255,129,232,160,104,264,136,240
16,Sevilla,26,281,60.9,38,418,3.42,38.0,52,36,88,46,6,7,79,2,54.4,48.9,41.0,900,691,1627,137,95,232,121,216,143,108,251,129,237
17,Valencia,30,252,46.9,38,418,3.42,38.0,48,35,83,40,8,10,82,5,42.6,34.8,27.3,621,575,1180,126,92,218,105,197,112,72,184,92,163
18,Valladolid,32,281,45.2,38,418,3.42,38.0,34,21,55,27,7,8,93,4,40.1,33.8,24.2,580,564,1101,89,55,145,71,126,105,64,169,89,153
19,Villarreal,29,280,55.2,38,418,3.42,38.0,57,33,90,45,12,13,67,5,56.4,46.4,40.5,869,737,1628,150,87,237,118,205,148,106,255,122,229
