,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,América (MG),2,37,0.97,163,125,79.1,13,14,11,13,34.2
1,Ath Paranaense,2,45,1.18,141,97,71.6,13,8,17,9,23.7
2,Atl Goianiense,3,36,0.95,151,114,78.8,13,14,11,16,42.1
3,Atlético Mineiro,2,34,0.89,117,84,73.5,26,6,6,16,42.1
4,Bahia,3,51,1.34,164,113,74.4,11,10,17,13,34.2
5,Ceará,3,38,1.0,142,104,75.4,11,17,10,15,39.5
6,Chapecoense,3,67,1.76,206,140,71.4,1,12,25,3,7.9
7,Corinthians,2,36,0.95,160,124,79.4,15,12,11,12,31.6
8,Cuiabá,2,37,0.97,153,115,76.5,10,17,11,15,39.5
9,Flamengo,3,36,0.95,141,104,74.5,21,8,9,14,36.8
10,Fluminense,2,38,1.0,144,108,79.9,15,9,14,12,31.6
11,Fortaleza,2,45,1.18,153,109,75.2,17,7,14,14,36.8
12,Grêmio,3,51,1.34,159,108,70.4,12,7,19,10,26.3
13,Internacional,2,42,1.11,161,121,77.0,12,12,14,11,28.9
14,Juventude,2,44,1.16,131,89,69.5,11,13,14,12,31.6
15,Palmeiras,3,43,1.13,156,112,75.0,20,6,12,13,34.2
16,Red Bull Bragantino,2,46,1.21,171,125,74.9,14,14,10,11,28.9
17,Santos,3,40,1.05,157,116,78.3,12,14,12,17,44.7
18,São Paulo,1,39,1.03,150,111,74.0,11,15,12,14,36.8
19,Sport Recife,2,37,0.97,178,144,82.0,9,11,18,14,36.8
