,Equipe,# J,90s,CrtsA,CrtV,2CrdY,Fts,FltsP,Desativado,Crz,Crts,TklW,Pênaltis convertidos,PKcon,OG,Recuperação,Ganhos,Perdas,Ganhos%
0,América (MG),36,38.0,64,1,1,552,575,71,739,431,363,6,4,0,2109,623,672,481
1,Ath Paranaense,40,38.0,83,3,0,567,498,38,777,414,296,1,6,2,1756,560,547,506
2,Atl Goianiense,31,38.0,89,2,0,537,537,48,632,349,313,3,6,1,1864,529,563,484
3,Atlético Mineiro,35,38.0,79,2,2,576,500,49,714,369,361,8,5,2,1861,441,430,506
4,Bahia,38,38.0,94,5,3,585,503,42,848,454,338,3,9,0,1791,651,623,511
5,Ceará,38,38.0,89,4,2,577,529,52,672,388,334,3,6,1,1917,664,591,529
6,Chapecoense,42,38.0,77,5,2,565,485,54,732,451,340,3,8,1,1828,461,585,441
7,Corinthians,33,38.0,62,3,1,419,567,31,649,379,289,4,3,0,1668,516,499,508
8,Cuiabá,30,38.0,87,6,3,533,535,66,580,413,316,3,3,0,1894,629,611,507
9,Flamengo,41,38.0,84,3,1,568,511,57,700,404,386,3,1,0,2131,547,435,557
10,Fluminense,36,38.0,85,3,1,553,560,48,717,330,361,3,9,2,1874,488,529,480
11,Fortaleza,28,38.0,90,4,2,591,591,80,608,413,299,2,9,2,1979,587,531,525
12,Grêmio,39,38.0,102,7,1,643,487,34,782,434,370,4,5,1,2089,622,578,518
13,Internacional,36,38.0,105,11,1,660,562,42,725,426,357,5,5,2,1920,571,631,475
14,Juventude,35,38.0,89,3,1,572,656,41,635,401,298,4,5,2,1820,561,589,488
15,Palmeiras,46,38.0,84,7,4,538,559,72,739,419,356,2,6,0,1790,560,480,538
16,Red Bull Bragantino,39,38.0,89,2,1,571,554,33,764,481,346,2,5,1,2002,489,482,504
17,Santos,38,38.0,90,1,0,533,551,59,771,399,293,5,9,1,1947,527,550,489
18,São Paulo,31,38.0,95,4,0,644,528,85,883,331,303,3,1,1,1974,522,567,479
19,Sport Recife,38,38.0,89,4,2,587,520,39,702,428,325,2,5,3,1819,479,534,473
