,Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
0,América (MG),36,29.2,47.6,41,27,68,35,6,9,64,1,56.1,49.1,38.6,87.7,736,1507
1,Ath Paranaense,40,25.2,49.0,41,31,72,39,2,2,83,3,41.8,40.2,31.0,71.2,579,1437
2,Atl Goianiense,31,26.5,49.4,32,20,52,28,4,4,89,2,37.0,33.9,26.5,60.4,559,1401
3,Atlético Mineiro,35,27.8,56.2,67,47,114,57,10,11,79,2,57.8,49.3,39.6,88.9,616,1756
4,Bahia,38,27.2,47.1,42,29,71,38,4,5,94,5,45.6,41.7,32.8,74.5,630,1511
5,Ceará,38,27.2,46.6,38,23,61,35,3,4,89,4,47.9,44.9,33.0,77.9,548,1386
6,Chapecoense,42,25.5,42.6,26,17,43,22,4,5,77,5,39.5,35.8,27.1,62.9,504,1106
7,Corinthians,33,28.3,54.6,39,29,68,34,5,6,62,3,40.2,35.5,28.6,64.1,656,1554
8,Cuiabá,30,28.5,46.3,32,20,52,28,4,4,87,6,36.6,33.4,27.1,60.5,567,1351
9,Flamengo,41,27.4,58.5,67,55,122,64,3,4,84,3,66.5,63.4,50.3,113.7,894,2055
10,Fluminense,36,26.5,49.7,37,27,64,33,4,5,85,3,44.3,40.4,31.2,71.6,565,1415
11,Fortaleza,28,27.8,49.9,43,26,69,39,4,7,90,4,50.6,44.9,32.6,77.5,628,1474
12,Grêmio,39,26.9,51.9,43,33,76,40,3,7,102,7,50.5,45.1,37.2,82.3,813,1621
13,Internacional,36,26.2,50.8,43,33,76,37,6,6,105,11,50.6,45.9,39.0,84.9,672,1354
14,Juventude,35,27.2,44.6,34,18,52,29,5,6,89,3,37.5,33.1,23.4,56.6,494,1181
15,Palmeiras,46,26.8,50.1,54,41,95,50,4,5,84,7,56.3,52.8,41.4,94.2,694,1499
16,Red Bull Bragantino,39,23.8,49.6,53,44,97,51,2,4,89,2,47.2,44.1,34.6,78.7,661,1467
17,Santos,38,25.6,53.4,34,22,56,28,6,8,90,1,44.7,38.5,29.3,67.8,792,1546
18,São Paulo,31,26.5,56.1,30,20,50,26,4,4,95,4,45.5,42.4,31.4,73.8,677,1633
19,Sport Recife,38,26.1,46.0,24,15,39,21,3,4,89,4,39.8,36.7,28.4,65.1,585,1258
