,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Arsenal,27,38.0,1030,2711,788,68,57,66,39,12,99,261,69,8,4,13,4,1
1,Aston Villa,31,38.0,837,2203,608,85,49,41,48,6,93,245,65,9,9,7,3,0
2,Brentford,29,38.0,739,1945,487,96,37,62,43,14,78,205,46,11,4,8,9,0
3,Brighton,26,38.0,870,2289,630,84,49,55,40,12,72,189,49,8,4,6,4,1
4,Burnley,23,38.0,674,1774,455,81,28,50,50,10,60,158,39,9,5,3,4,0
5,Chelsea,26,38.0,1064,2800,818,62,48,75,49,12,135,355,97,9,8,10,9,2
6,Crystal Palace,24,38.0,711,1871,500,63,43,46,43,16,81,213,53,3,7,8,9,1
7,Everton,33,38.0,742,1953,533,69,43,42,45,10,68,179,46,4,4,6,8,0
8,Leeds United,29,38.0,825,2171,589,68,52,60,42,14,66,174,36,2,10,10,5,3
9,Leicester City,28,38.0,745,1961,566,41,48,42,33,15,105,276,81,3,4,8,5,4
10,Liverpool,27,38.0,1249,3287,912,105,63,104,49,16,163,429,121,9,9,19,5,0
11,Manchester City,26,38.0,1286,3384,997,78,70,88,42,11,158,416,112,10,6,19,8,3
12,Manchester Utd,29,38.0,917,2413,706,65,56,38,39,13,104,274,77,6,6,7,5,3
13,Newcastle Utd,29,38.0,758,1995,504,81,61,57,44,11,70,184,46,4,5,9,6,0
14,Norwich City,28,38.0,637,1676,435,67,41,33,50,11,35,92,27,2,1,1,3,1
15,Southampton,25,38.0,814,2142,585,68,43,51,49,18,71,187,44,5,6,4,9,3
16,Tottenham,25,38.0,882,2321,678,51,46,61,37,9,117,308,95,3,4,8,6,1
17,Watford,30,38.0,693,1824,475,59,48,43,52,16,57,150,36,5,4,7,3,2
18,West Ham,25,38.0,770,2026,569,68,47,50,28,8,102,268,72,10,5,9,5,1
19,Wolves,26,38.0,692,1821,496,44,65,37,31,19,58,153,37,4,5,8,2,2
