,Equipe,# J,90s,Cmp,Att,Cmp%,DistTot,DistPrg,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Assis.,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Alavés,33,38.0,9676,14175,683,191044,85739,4158,5174,804,3774,4954,762,1524,3158,483,20,25.5,22.8,-5.5,260,835,199,84,984
1,Athletic Club,26,38.0,12947,17283,749,229197,91473,5845,6826,856,5198,6434,808,1437,2830,508,34,37.5,36.0,-3.5,351,1056,306,82,1572
2,Atlético Madrid,26,38.0,15076,19098,789,253140,88718,7378,8289,890,5269,6266,841,1640,3060,536,45,40.2,39.6,4.8,347,989,325,66,1463
3,Barcelona,38,38.0,21489,25006,859,359280,114923,10207,11109,919,8433,9401,897,1949,2912,669,52,47.6,54.7,4.4,402,1698,390,99,2079
4,Betis,31,38.0,15702,19444,808,273534,99419,7360,8284,888,6318,7309,864,1583,2873,551,45,37.7,35.1,7.3,395,1136,294,51,1518
5,Cádiz,33,38.0,10136,14415,703,195586,77863,4254,5031,846,3979,5054,787,1552,3292,471,21,24.6,28.9,-3.6,277,829,233,120,1080
6,Celta Vigo,25,38.0,16007,20591,777,286771,95793,6936,7982,869,6579,7795,844,1837,3366,546,29,28.8,31.6,0.2,286,1105,285,84,1447
7,Elche,28,38.0,12948,16836,769,237191,93098,5745,6572,874,5080,6020,844,1676,3129,536,29,27.6,24.8,1.4,261,861,204,78,1102
8,Espanyol,34,38.0,13360,16919,790,237866,88599,6031,6763,892,5391,6281,858,1475,2817,524,25,25.8,24.8,-0.8,300,993,212,59,1212
9,Getafe,31,38.0,10278,14607,704,196813,82509,4550,5489,829,3938,5092,773,1516,3176,477,26,19.4,19.7,6.6,288,808,166,73,917
10,Granada,32,38.0,10582,14889,711,199289,81817,4550,5400,843,4234,5295,800,1460,3218,454,28,26.7,25.9,1.3,306,840,205,82,1047
11,Levante,31,38.0,12584,16422,766,226757,88940,5742,6544,877,4982,5929,840,1501,2917,515,34,31.7,25.8,2.3,318,968,254,63,1343
12,Mallorca,33,38.0,11046,15023,735,194935,82006,5149,6054,851,4101,5153,796,1312,2691,488,23,25.7,28.3,-2.7,303,806,235,64,1129
13,Osasuna,29,38.0,11904,16522,720,228055,96276,5076,6144,826,4756,6063,784,1702,3278,519,23,22.9,27.6,0.1,297,1099,298,124,1328
14,Rayo Vallecano,28,38.0,12747,16933,753,237761,93060,5524,6408,862,5119,6188,827,1719,3277,525,28,30.7,35.8,-2.7,359,1012,267,109,1312
15,Real Madrid,31,38.0,21373,24517,872,355560,112655,10630,11395,933,7948,8751,908,1987,2902,685,59,50.7,55.1,8.3,526,1694,455,57,2078
16,Real Sociedad,32,38.0,15403,19304,798,269268,98185,6964,7887,883,6383,7429,859,1569,2800,560,22,32.9,35.0,-10.9,313,1067,315,69,1462
17,Sevilla,33,38.0,18327,22234,824,341688,109518,7686,8529,901,7941,8940,888,2275,3745,607,40,32.5,34.6,7.5,342,1207,305,112,1596
18,Valencia,34,38.0,9627,13777,699,187440,77723,3923,4782,820,3835,4951,775,1506,3098,486,30,25.4,27.4,4.6,288,900,256,75,1202
19,Villarreal,29,38.0,16679,20401,818,294002,103203,7388,8290,891,7135,8109,880,1669,2743,608,51,50.9,49.9,0.1,363,1278,349,66,1698
