,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,53,7,1,6,2,56.9,0.28,5.9,0.17
1,56,5,1,2,2,52.3,0.31,-1.7,-0.05
2,37,2,1,2,1,32.6,0.27,-3.4,-0.1
3,52,5,1,4,4,49.9,0.27,1.9,0.06
4,52,6,2,6,2,46.9,0.31,-3.1,-0.09
5,49,4,0,3,1,52.4,0.3,4.4,0.13
6,46,2,1,5,1,42.7,0.27,-2.3,-0.07
7,61,3,1,5,0,57.3,0.29,-3.7,-0.11
8,82,6,1,12,5,66.9,0.33,-10.1,-0.3
9,71,8,1,10,0,56.0,0.29,-15.0,-0.44
10,60,2,0,9,1,53.2,0.32,-5.8,-0.17
11,49,0,2,6,2,51.1,0.33,4.1,0.12
12,47,2,2,6,1,44.1,0.26,-1.9,-0.06
13,45,5,0,4,1,41.2,0.29,-2.8,-0.08
14,37,3,0,6,1,33.4,0.28,-2.6,-0.08
15,59,4,1,8,1,53.0,0.31,-5.0,-0.15
16,44,2,0,5,4,33.9,0.28,-6.1,-0.18
17,54,4,1,6,1,53.3,0.31,0.3,0.01
