,Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
0,Arminia,2,34,34,3.06,34.0,53,156,180,129,744,5,13,16,7,206,7,7,0,0,0
1,Augsburg,1,34,34,3.06,34.0,56,165,156,102,673,10,8,16,9,265,5,5,0,0,0
2,Bayern Munich,3,34,34,3.06,34.0,37,109,112,76,688,24,5,5,11,324,2,2,0,0,0
3,Bochum,2,34,34,3.06,34.0,52,153,176,126,733,12,6,16,7,206,8,5,2,1,286
4,Dortmund,3,34,34,3.06,34.0,52,153,136,86,662,22,3,9,7,206,6,6,0,0,0
5,Eint Frankfurt,3,34,34,3.06,34.0,49,144,165,117,727,10,12,12,5,147,4,4,0,0,0
6,Freiburg,2,34,34,3.06,34.0,46,135,153,108,712,15,10,9,10,294,2,2,0,0,0
7,Gladbach,2,34,34,3.06,34.0,61,179,185,122,686,12,9,13,5,147,5,3,2,0,400
8,Greuther Fürth,3,34,34,3.06,34.0,82,241,188,111,596,3,9,22,6,176,6,6,0,0,0
9,Hertha BSC,2,34,34,3.06,34.0,71,209,172,101,634,9,6,19,6,176,8,8,0,0,0
10,Hoffenheim,2,34,34,3.06,34.0,60,176,162,102,642,13,7,14,8,235,4,2,1,1,333
11,Köln,2,34,34,3.06,34.0,49,144,154,106,682,14,10,10,4,118,1,0,1,0,1000
12,Leverkusen,3,34,34,3.06,34.0,47,138,162,115,722,19,7,8,8,235,4,2,1,1,333
13,Mainz 05,2,34,34,3.06,34.0,45,132,125,80,680,13,7,14,10,294,6,5,1,0,167
14,RB Leipzig,3,34,34,3.06,34.0,37,109,115,79,704,17,7,10,10,294,3,3,0,0,0
15,Stuttgart,2,34,34,3.06,34.0,59,174,163,105,663,7,12,15,4,118,4,4,0,0,0
16,Union Berlin,2,34,34,3.06,34.0,44,129,122,82,656,16,9,9,8,235,2,2,0,0,0
17,Wolfsburg,2,34,34,3.06,34.0,54,159,156,101,679,12,6,16,11,324,7,4,2,1,333
