,Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Atalanta,21261,19317,1876,539,36,192,661,782,229,114,84,1,17108,68,383
1,Bologna,18249,16283,1910,590,58,109,601,730,183,103,21,1,14442,56,317
2,Cagliari,15761,13729,1962,574,16,119,675,791,143,48,71,2,11503,70,315
3,Empoli,16700,14627,1990,528,36,76,704,827,189,63,87,0,12796,83,347
4,Fiorentina,20910,19005,1848,664,37,246,776,693,195,23,129,0,17418,57,331
5,Genoa,15587,13605,1910,559,29,74,661,777,155,57,76,1,11185,72,365
6,Hellas Verona,17398,15513,1788,467,36,101,593,777,166,75,43,0,13047,97,347
7,Inter,21832,20151,1624,448,54,207,809,630,252,73,141,2,18367,57,339
8,Juventus,19835,18065,1696,533,41,193,550,662,169,72,66,2,16459,74,297
9,Lazio,23041,21310,1687,520,54,137,574,663,176,74,71,0,19632,44,296
10,Milan,19320,17512,1728,564,45,122,672,653,195,61,86,0,15719,80,297
11,Napoli,22921,21114,1740,536,45,199,553,693,197,85,51,0,19572,67,337
12,Roma,18828,16921,1847,548,45,136,735,748,238,130,95,0,15221,60,292
13,Salernitana,14461,12521,1899,576,12,90,698,695,185,56,111,1,10680,41,320
14,Sampdoria,17022,15064,1876,582,35,151,645,726,143,33,73,0,12901,82,339
15,Sassuolo,20327,18421,1863,629,59,179,541,612,198,96,62,1,17027,43,315
16,Spezia,15503,13609,1817,509,32,92,534,731,152,76,58,2,11650,77,318
17,Torino,18082,16280,1718,519,28,118,663,699,168,80,55,0,13943,84,331
18,Udinese,15251,13384,1789,523,37,80,519,688,187,64,75,1,11650,78,297
19,Venezia,15320,13487,1772,493,27,113,585,714,123,57,54,0,11575,61,335
