,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Atalanta,17108,21261,80.5,290891,103683,48,48.5,47.2,-0.5,479,1384,425,81,1858
1,Bologna,14442,18249,79.1,246735,94908,34,33.6,25.9,0.4,343,1024,299,89,1276
2,Cagliari,11503,15761,73.0,221202,88862,26,29.6,27.6,-3.6,317,853,226,93,1088
3,Empoli,12796,16700,76.6,227799,91038,27,28.9,25.8,-1.9,343,1013,337,72,1477
4,Fiorentina,17418,20910,83.3,337614,110293,33,39.2,41.6,-6.2,386,1211,346,105,1584
5,Genoa,11185,15587,71.8,198763,81665,19,26.3,25.5,-7.3,281,829,211,74,1101
6,Hellas Verona,13047,17398,75.0,226861,89360,44,34.1,32.0,9.9,333,1046,350,71,1587
7,Inter,18367,21832,84.1,329949,112120,57,57.3,53.4,-0.3,503,1453,451,128,1778
8,Juventus,16459,19835,83.0,307159,106118,37,36.3,33.7,0.7,388,1266,305,79,1464
9,Lazio,19632,23041,85.2,320293,109239,48,38.8,34.4,9.2,346,1398,309,53,1527
10,Milan,15719,19320,81.4,283818,100443,39,42.8,40.4,-3.8,436,1202,371,95,1486
11,Napoli,19572,22921,85.4,313472,105507,46,37.1,37.0,8.9,450,1389,366,57,1665
12,Roma,15221,18828,80.8,286185,100442,31,46.3,38.3,-15.3,434,1200,332,70,1587
13,Salernitana,10680,14461,73.9,195791,85345,19,24.8,25.1,-5.8,305,841,222,99,1031
14,Sampdoria,12901,17022,75.8,235384,91587,29,26.2,27.6,2.8,295,921,266,89,1187
15,Sassuolo,17027,20327,83.8,290090,104090,39,39.0,33.8,0.0,431,1178,316,55,1507
16,Spezia,11650,15503,75.1,210448,83575,25,27.9,22.7,-2.9,280,827,209,60,999
17,Torino,13943,18082,77.1,249442,87682,27,36.3,31.3,-9.3,364,1153,271,95,1320
18,Udinese,11650,15251,76.4,201058,80592,36,36.6,29.9,-0.6,375,905,280,54,1226
19,Venezia,11575,15320,75.6,214514,84877,23,26.4,23.4,-3.4,250,802,215,77,1088
