,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Atalanta,62,598,167,27.9,15.7,4.4,0.1,0.3,16.5,16,5,6,62.4,58.1,0.1,-0.4,-1.1
1,Bologna,43,434,143,32.9,11.4,3.8,0.1,0.3,18.1,14,4,5,44.9,41.0,0.1,-1.9,-2.0
2,Cagliari,34,420,117,27.9,11.0,3.1,0.1,0.3,17.3,17,3,4,39.0,36.4,0.1,-5.0,-5.4
3,Empoli,47,490,151,30.8,12.9,4.0,0.1,0.3,18.5,16,7,7,44.9,39.3,0.1,2.1,0.7
4,Fiorentina,59,501,172,34.3,13.2,4.5,0.1,0.3,17.2,25,9,12,60.0,50.8,0.1,-1.0,-0.8
5,Genoa,26,397,106,26.7,10.4,2.8,0.0,0.2,18.8,12,6,7,37.2,31.8,0.1,-11.2,-11.8
6,Hellas Verona,63,455,152,33.4,12.0,4.0,0.1,0.4,16.9,15,7,8,50.4,44.2,0.1,12.6,11.8
7,Inter,83,667,239,35.8,17.6,6.3,0.1,0.3,15.9,13,7,11,81.6,73.6,0.1,1.4,2.4
8,Juventus,56,517,166,32.1,13.6,4.4,0.1,0.3,17.5,18,5,6,51.4,46.7,0.1,4.6,4.3
9,Lazio,74,445,185,41.6,11.7,4.9,0.2,0.4,17.4,14,7,9,55.3,48.2,0.1,18.7,18.8
10,Milan,66,592,187,31.6,15.6,4.9,0.1,0.3,18.4,23,5,8,59.7,54.1,0.1,6.3,6.9
11,Napoli,74,565,186,32.9,14.9,4.9,0.1,0.3,18.2,25,10,14,57.8,46.6,0.1,16.2,17.4
12,Roma,58,592,184,31.1,15.6,4.8,0.1,0.3,17.3,21,7,9,65.1,58.1,0.1,-7.1,-7.1
13,Salernitana,32,426,130,30.5,11.2,3.4,0.1,0.2,18.1,20,4,5,36.5,32.9,0.1,-4.5,-4.9
14,Sampdoria,42,386,118,30.6,10.2,3.1,0.1,0.3,18.1,12,2,4,36.7,33.4,0.1,5.3,6.6
15,Sassuolo,60,569,204,35.9,15.0,5.4,0.1,0.3,18.8,14,7,7,55.7,50.2,0.1,4.3,2.8
16,Spezia,38,381,127,33.3,10.0,3.3,0.1,0.3,18.7,17,3,5,40.1,36.2,0.1,-2.1,-1.2
17,Torino,43,470,142,30.2,12.4,3.7,0.1,0.3,17.3,16,6,6,48.7,44.1,0.1,-5.7,-7.1
18,Udinese,58,505,181,35.8,13.3,4.8,0.1,0.3,17.8,19,3,4,51.3,48.2,0.1,6.7,6.8
19,Venezia,34,349,113,32.4,9.2,3.0,0.1,0.3,18.2,22,3,5,36.5,32.4,0.1,-2.5,-1.4
