,Equipe,# J,90s,GC,GPC,TD,GC.1,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Tent. de passes (Gol.),Pas,Lançamentos%,CompMéd,Att,Lançamentos%,CompMéd,Oponente,Stp,Stp%,#OPA,#OPA/90,DistMéd
0,Alavés,3,38.0,65,6,0,10,0,585,30,-65,-17,369,783,471,808,96,646,533,351,744,509,619,26,42,48,126,176
1,Athletic Club,2,38.0,36,3,0,2,1,369,26,19,5,158,402,393,748,201,354,338,269,509,417,577,30,52,41,108,152
2,Atlético Madrid,1,38.0,43,7,2,4,3,323,23,-77,-20,170,598,284,810,155,499,390,283,686,486,477,27,57,29,76,138
3,Barcelona,2,38.0,38,2,1,7,0,341,26,-39,-10,147,289,509,1167,165,188,269,240,292,323,384,15,39,38,100,153
4,Betis,2,38.0,40,3,0,3,2,391,27,11,3,201,547,367,962,157,414,331,275,542,439,592,24,41,41,108,157
5,Cádiz,1,38.0,51,11,0,10,0,528,24,18,5,272,792,343,840,119,633,460,313,831,602,586,42,72,28,74,121
6,Celta Vigo,1,38.0,43,4,0,1,2,433,27,23,6,303,804,377,1176,131,513,403,283,710,524,452,36,80,37,97,143
7,Elche,2,38.0,52,7,0,6,0,545,27,25,7,257,626,411,966,183,421,364,346,633,459,616,25,41,56,147,152
8,Espanyol,3,38.0,53,4,0,4,2,536,30,26,7,171,466,367,897,221,351,338,337,448,369,662,38,57,48,126,137
9,Getafe,2,38.0,41,2,0,5,1,409,29,9,2,366,869,421,892,101,695,610,294,847,542,576,26,45,45,118,50
10,Granada,2,38.0,61,7,0,7,2,602,27,12,3,267,818,326,922,162,577,440,380,753,520,615,32,52,64,168,161
11,Levante,4,38.0,76,5,1,13,0,659,30,-101,-27,155,460,337,821,151,421,366,309,369,346,532,19,36,47,124,156
12,Mallorca,4,38.0,63,6,1,5,4,538,30,-52,-14,244,595,410,787,130,524,394,312,587,435,576,17,30,20,53,126
13,Osasuna,2,38.0,51,4,0,11,2,491,29,1,0,396,876,452,884,84,686,465,315,857,585,546,24,44,71,187,181
14,Rayo Vallecano,2,38.0,50,7,0,4,1,497,25,7,2,224,648,346,889,193,506,421,283,700,522,495,44,89,41,108,139
15,Real Madrid,2,38.0,31,3,1,2,0,370,25,60,16,79,261,303,926,201,210,288,289,232,282,506,24,47,31,82,155
16,Real Sociedad,2,38.0,37,5,1,8,0,355,24,-15,-4,211,521,405,1094,139,341,329,269,550,440,522,21,40,51,134,164
17,Sevilla,3,38.0,30,2,2,6,0,313,24,13,3,181,446,406,1051,145,290,291,277,509,406,503,32,64,36,95,137
18,Valencia,3,38.0,53,7,0,7,3,541,29,41,11,248,623,398,749,140,553,398,298,701,504,534,20,37,45,118,160
19,Villarreal,2,38.0,37,4,0,3,1,371,26,11,3,146,385,379,1232,199,231,280,281,359,353,583,25,43,66,174,168
