,Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
0,Alavés,33,38.0,550,324,271,221,58,262,637,411,375,373,106,267,376,926,890,7
1,Athletic Club,26,38.0,508,292,217,216,75,224,582,385,358,411,128,283,339,847,788,8
2,Atlético Madrid,26,38.0,636,346,290,279,67,293,619,473,326,372,98,274,365,1001,649,14
3,Barcelona,38,38.0,587,331,236,270,81,244,493,495,249,346,85,261,325,912,467,17
4,Betis,31,38.0,662,392,322,261,79,324,695,466,371,386,112,274,361,1023,777,11
5,Cádiz,33,38.0,647,380,346,238,63,301,711,423,410,390,106,284,413,1060,768,5
6,Celta Vigo,25,38.0,696,409,324,279,93,286,762,375,476,423,91,332,376,1072,634,11
7,Elche,28,38.0,589,325,335,191,63,268,622,431,354,367,126,241,305,894,769,14
8,Espanyol,34,38.0,557,338,308,196,53,275,646,426,371,360,114,246,326,883,892,20
9,Getafe,31,38.0,587,360,266,243,78,248,594,418,346,400,96,304,401,988,719,8
10,Granada,32,38.0,611,343,310,240,61,274,632,434,358,437,130,307,326,937,841,8
11,Levante,31,38.0,558,305,268,212,78,237,611,388,374,326,110,216,377,935,735,12
12,Mallorca,33,38.0,607,332,301,235,71,248,551,450,303,374,119,255,344,951,826,9
13,Osasuna,29,38.0,577,331,270,236,71,251,598,420,347,340,115,225,368,945,758,5
14,Rayo Vallecano,28,38.0,621,359,320,237,64,280,688,407,408,410,95,315,365,986,686,9
15,Real Madrid,31,38.0,560,345,281,195,84,211,502,420,291,379,114,265,334,894,526,17
16,Real Sociedad,32,38.0,586,339,271,234,81,260,546,476,286,382,105,277,348,934,703,6
17,Sevilla,33,38.0,534,302,252,211,71,236,542,435,306,367,124,243,270,804,603,18
18,Valencia,34,38.0,591,364,289,217,85,266,623,427,357,373,93,280,339,930,746,8
19,Villarreal,29,38.0,538,312,250,197,91,229,476,481,247,330,109,221,329,867,644,16
