,Equipe,# J,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PB,PT,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Alavés,33,38.0,29,373,111,298,982,292,6,21,182,15,6,7,37.3,31.8,9,-8.3,-8.8
1,Athletic Club,26,38.0,40,460,150,326,1211,395,8,25,168,11,3,7,49.6,44.0,10,-9.6,-7.0
2,Atlético Madrid,26,38.0,63,458,152,332,1205,400,13,39,175,8,4,5,54.4,50.6,11,8.6,8.4
3,Barcelona,38,38.0,68,511,177,346,1345,466,12,35,171,15,6,7,63.4,57.9,12,4.6,4.1
4,Betis,31,38.0,60,509,182,358,1339,479,11,30,184,21,6,6,53.5,48.8,10,6.5,5.2
5,Cádiz,33,38.0,35,405,118,291,1066,311,8,27,179,14,3,6,39.5,34.8,9,-4.5,-2.8
6,Celta Vigo,25,38.0,43,405,135,333,1066,355,10,30,183,14,3,6,43.1,38.3,10,-0.1,1.7
7,Elche,28,38.0,39,334,106,317,879,279,11,36,180,8,1,1,33.7,32.9,10,5.3,5.1
8,Espanyol,34,38.0,39,403,128,318,1061,337,8,27,195,24,5,5,36.7,32.9,8,2.3,1.1
9,Getafe,31,38.0,31,404,111,275,1063,292,7,25,206,29,3,5,29.3,25.3,6,1.7,2.7
10,Granada,32,38.0,43,421,131,311,1108,345,10,31,192,12,3,5,39.0,35.1,9,4.0,4.9
11,Levante,31,38.0,51,430,146,340,1132,384,10,29,177,14,8,13,55.1,45.1,11,-4.1,-2.1
12,Mallorca,33,38.0,33,440,131,298,1158,345,6,21,195,23,6,7,38.8,33.3,8,-5.8,-6.3
13,Osasuna,29,38.0,37,425,114,268,1118,300,7,27,196,11,6,8,36.7,30.7,7,0.3,0.3
14,Rayo Vallecano,28,38.0,38,500,133,266,1316,350,7,26,185,27,4,4,42.8,39.7,8,-4.8,-5.7
15,Real Madrid,31,38.0,80,645,243,377,1697,639,11,30,188,21,8,12,71.7,62.2,10,8.3,9.8
16,Real Sociedad,32,38.0,40,430,143,333,1132,376,7,22,171,18,9,10,51.5,43.8,10,-11.5,-12.8
17,Sevilla,33,38.0,51,430,139,323,1132,366,11,35,170,10,2,3,42.4,40.0,9,8.6,9.0
18,Valencia,34,38.0,45,394,129,327,1037,339,9,29,189,18,8,9,39.0,32.2,8,6.0,4.8
19,Villarreal,29,38.0,62,449,164,365,1182,432,13,35,153,8,5,6,64.2,60.0,14,-2.2,-3.0
