,Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
0,América (MG),37,38.0,553,316,248,219,86,232,564,411,332,428,144,284,400,953,829,4
1,Ath Paranaense,35,38.0,632,351,311,258,63,304,640,475,336,428,130,298,411,1043,779,7
2,Atl Goianiense,33,38.0,534,331,275,188,71,250,577,433,327,384,150,234,341,875,842,9
3,Atlético Mineiro,32,38.0,673,398,310,266,97,303,663,457,360,408,84,324,338,1011,518,4
4,Avaí,45,38.0,636,360,313,260,63,334,679,492,345,428,142,286,337,973,790,7
5,Botafogo (RJ),43,38.0,612,359,307,243,62,319,720,443,401,426,119,307,428,1040,744,7
6,Ceará,40,38.0,531,306,247,222,62,230,550,418,320,372,133,239,361,892,696,9
7,Corinthians,42,38.0,617,355,304,236,77,278,604,460,326,374,126,248,379,996,700,7
8,Coritiba,41,38.0,670,382,345,249,76,333,684,487,351,388,149,239,359,1029,722,9
9,Cuiabá,35,38.0,584,346,300,217,67,269,605,445,336,366,106,260,356,940,803,6
10,Flamengo,44,38.0,686,394,284,300,102,308,638,483,330,330,112,218,345,1031,612,8
11,Fluminense,32,38.0,530,311,213,223,94,241,490,492,249,377,127,250,299,829,612,4
12,Fortaleza,34,38.0,614,364,307,244,63,303,653,464,350,351,106,245,404,1018,772,5
13,Goiás,36,38.0,597,354,332,191,74,237,542,437,305,410,174,236,369,966,1039,3
14,Internacional,37,38.0,669,392,335,266,68,349,658,530,309,376,131,245,411,1080,778,5
15,Juventude,45,38.0,584,354,317,202,65,297,601,494,304,344,136,208,381,965,814,5
16,Palmeiras,35,38.0,617,346,274,261,82,264,597,442,333,364,105,259,382,999,545,1
17,Red Bull Bragantino,36,38.0,615,369,302,240,73,323,659,490,336,433,139,294,374,989,709,9
18,Santos,40,38.0,622,351,303,255,64,294,698,421,404,435,165,270,358,980,778,5
19,São Paulo,39,38.0,581,358,271,238,72,272,588,463,316,355,90,265,290,871,663,7
