,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,América (MG),11599,15723,73.8,212843,87750,29,33.3,33.2,-4.3,427,1092,354,109,1634
1,Ath Paranaense,11158,14833,75.2,213909,77733,26,28.6,27.1,-2.6,352,1057,216,65,1274
2,Atl Goianiense,14186,17709,80.1,275279,97571,25,32.0,35.0,-7.0,393,1207,310,90,1531
3,Atlético Mineiro,17665,21310,82.9,311674,108520,27,38.4,43.0,-11.4,436,1486,357,98,1820
4,Avaí,14036,17767,79.0,257456,92680,10,24.0,25.5,-14.0,316,1064,226,65,1345
5,Botafogo (RJ),13062,16663,78.4,233781,84589,21,30.5,28.0,-9.5,389,1013,188,58,1299
6,Ceará,13081,16744,78.1,236709,89567,12,29.8,29.0,-17.8,396,1118,279,101,1472
7,Corinthians,16802,20623,81.5,287146,97028,28,28.7,28.4,-0.7,330,1219,241,53,1493
8,Coritiba,12230,15733,77.7,226814,85595,26,32.0,29.6,-6.0,386,1047,271,95,1343
9,Cuiabá,11759,15500,75.9,218299,86526,16,27.9,26.6,-11.9,335,1006,244,97,1374
10,Flamengo,17215,20558,83.7,301119,100931,49,50.6,51.9,-1.6,428,1602,420,88,1966
11,Fluminense,18664,22006,84.8,284850,95114,47,37.6,39.6,9.4,433,1370,311,78,1625
12,Fortaleza,11311,15140,74.7,209454,81892,36,32.2,29.5,3.8,370,1133,240,58,1385
13,Goiás,9579,13078,73.2,190366,81620,28,23.6,25.5,4.4,309,802,228,90,972
14,Internacional,14610,18163,80.4,252624,91186,40,40.0,40.3,0.0,395,1229,308,71,1504
15,Juventude,12244,15890,77.1,234973,90457,18,21.6,23.7,-3.6,326,968,209,89,1216
16,Palmeiras,14450,18115,79.8,281893,98791,47,48.2,43.0,-1.2,489,1377,333,84,1718
17,Red Bull Bragantino,13405,17196,78.0,255926,91266,29,36.9,32.6,-7.9,400,1185,265,98,1508
18,Santos,13298,16885,78.8,245287,86053,31,33.4,33.7,-2.4,358,1098,242,79,1394
19,São Paulo,15925,19554,81.4,296617,102748,38,35.6,39.9,2.4,392,1406,344,115,1694
