,Equipe,# J,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PB,PT,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,América (MG),37,38.0,40,551,182,330,1450,479,6,19,193,11,5,7,45.6,40.8,8,-5.6,-5.8
1,Ath Paranaense,35,38.0,45,496,149,300,1305,392,7,24,210,20,9,11,47.1,38.7,8,-2.1,-2.7
2,Atl Goianiense,33,38.0,38,530,151,285,1395,397,7,24,192,11,2,3,43.1,40.8,8,-5.1,-4.8
3,Atlético Mineiro,32,38.0,43,585,167,285,1539,439,6,23,196,39,5,6,54.1,49.4,9,-11.1,-11.4
4,Avaí,45,38.0,34,428,115,269,1126,303,5,18,210,25,13,14,44.0,33.7,8,-10.0,-12.7
5,Botafogo (RJ),43,38.0,40,518,168,324,1363,442,7,21,200,23,4,4,40.8,38.2,8,-0.8,-2.2
6,Ceará,40,38.0,32,517,154,298,1361,405,5,18,191,23,5,7,43.9,38.4,8,-11.9,-11.4
7,Corinthians,42,38.0,42,446,145,325,1174,382,9,27,185,25,3,3,40.9,38.7,9,1.1,0.3
8,Coritiba,41,38.0,39,504,142,282,1326,374,7,25,198,15,4,4,42.3,39.7,8,-3.3,-4.7
9,Cuiabá,35,38.0,31,460,124,270,1211,326,6,22,184,16,4,5,41.0,37.2,8,-10.0,-10.2
10,Flamengo,44,38.0,59,558,199,357,1468,524,10,28,170,26,3,6,65.4,60.6,11,-6.4,-4.6
11,Fluminense,32,38.0,62,548,187,341,1442,492,11,31,190,22,4,4,50.1,47.1,9,11.9,10.9
12,Fortaleza,34,38.0,45,515,166,322,1355,437,8,26,205,31,2,6,44.5,41.0,8,0.5,2.0
13,Goiás,36,38.0,40,411,119,290,1082,313,8,29,193,23,6,6,34.6,30.3,7,5.4,3.7
14,Internacional,37,38.0,58,510,176,345,1342,463,10,28,182,19,8,10,55.8,48.1,10,2.2,1.9
15,Juventude,45,38.0,27,445,132,297,1171,347,6,19,199,16,2,4,33.4,30.3,7,-6.4,-5.3
16,Palmeiras,35,38.0,64,667,223,334,1755,587,9,26,183,37,7,9,69.3,62.4,10,-5.3,-5.4
17,Red Bull Bragantino,36,38.0,48,539,166,308,1418,437,8,27,192,29,4,5,52.7,48.7,9,-4.7,-4.7
18,Santos,40,38.0,42,481,157,326,1266,413,8,25,191,24,3,3,46.2,43.8,9,-4.2,-4.8
19,São Paulo,39,38.0,55,501,155,309,1318,408,10,32,177,15,5,7,49.7,44.4,9,5.3,5.6
