,Equipe,# J,Idade,Posse,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG
0,América (MG),37,298,45.9,38,418,3.42,38.0,40,29,69,35,5,7,86,5,45.6,40.8,33.3,740,697,1634,105,76,182,92,168,120,88,207,107,195
1,Ath Paranaense,35,244,44.1,38,418,3.42,38.0,45,26,71,36,9,11,92,4,47.1,38.7,28.6,673,565,1274,118,68,187,95,163,124,75,199,102,177
2,Atl Goianiense,33,269,50.6,38,418,3.42,38.0,38,25,63,36,2,3,100,6,43.1,40.8,32.0,728,705,1531,100,66,166,95,161,113,84,198,107,192
3,Atlético Mineiro,32,287,58.6,38,418,3.42,38.0,43,27,70,38,5,6,90,0,54.1,49.4,38.4,878,694,1820,113,71,184,100,171,142,101,243,130,231
4,Avaí,45,287,50.2,38,418,3.42,38.0,34,10,44,21,13,14,104,4,44.0,33.7,24.0,577,563,1345,89,26,116,55,82,116,63,179,89,152
5,Botafogo (RJ),43,275,48.7,38,418,3.42,38.0,40,21,61,36,4,4,97,4,40.8,38.2,30.5,687,626,1299,105,55,161,95,150,107,80,188,100,181
6,Ceará,40,290,50.9,38,418,3.42,38.0,32,12,44,27,5,7,126,10,43.9,38.4,29.8,682,610,1472,84,32,116,71,103,116,78,194,101,180
7,Corinthians,42,269,54.7,38,418,3.42,38.0,42,28,70,39,3,3,77,3,40.9,38.7,28.7,674,606,1493,111,74,184,103,176,108,76,183,102,177
8,Coritiba,41,275,45.2,38,418,3.42,38.0,39,26,65,35,4,4,110,11,42.3,39.7,32.0,717,624,1343,103,68,171,92,161,111,84,196,105,189
9,Cuiabá,35,283,44.2,38,418,3.42,38.0,31,16,47,27,4,5,83,6,41.0,37.2,27.9,651,538,1374,82,42,124,71,113,108,73,181,98,171
10,Flamengo,44,272,57.3,38,418,3.42,38.0,59,49,108,56,3,6,84,4,65.4,60.6,50.6,1112,787,1966,155,129,284,147,276,172,133,305,160,293
11,Fluminense,32,284,60.8,38,418,3.42,38.0,62,47,109,58,4,4,80,9,50.1,47.1,37.6,847,773,1625,163,124,287,153,276,132,99,231,124,223
12,Fortaleza,34,285,45.2,38,418,3.42,38.0,45,36,81,43,2,6,85,4,44.5,41.0,32.2,731,614,1385,118,95,213,113,208,117,85,202,108,192
13,Goiás,36,268,40.2,38,418,3.42,38.0,40,28,68,34,6,6,114,5,34.6,30.3,23.6,539,494,972,105,74,179,89,163,91,62,153,80,142
14,Internacional,37,274,50.0,38,418,3.42,38.0,58,40,98,50,8,10,86,2,55.8,48.1,40.0,881,750,1504,153,105,258,132,237,147,105,252,127,232
15,Juventude,45,274,45.8,38,418,3.42,38.0,27,18,45,25,2,4,109,8,33.4,30.3,21.6,520,509,1216,71,47,118,66,113,88,57,145,80,137
16,Palmeiras,35,269,54.3,38,418,3.42,38.0,64,47,111,57,7,9,75,3,69.3,62.4,48.2,1106,750,1718,168,124,292,150,274,182,127,309,164,291
17,Red Bull Bragantino,36,238,49.7,38,418,3.42,38.0,48,29,77,44,4,5,86,6,52.7,48.7,36.9,856,659,1508,126,76,203,116,192,139,97,236,128,225
18,Santos,40,254,48.1,38,418,3.42,38.0,42,31,73,39,3,3,100,3,46.2,43.8,33.4,772,661,1394,111,82,192,103,184,122,88,209,115,203
19,São Paulo,39,268,55.5,38,418,3.42,38.0,55,38,93,50,5,7,103,6,49.7,44.4,35.6,799,651,1694,145,100,245,132,232,131,94,224,117,210
