,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arsenal,18281,21969,83.2,310206,100635,64,53.5,46.8,10.5,443,1637,459,62,2049
1,Aston Villa,13782,17396,79.2,244073,87581,35,38.8,31.6,-3.8,318,964,268,80,1242
2,Bournemouth,11715,15381,76.2,206704,82672,24,28.4,26.3,-4.4,261,850,237,75,1006
3,Brentford,11317,15551,72.8,209962,87002,36,38.4,30.5,-2.4,284,922,279,87,1131
4,Brighton,19210,22888,83.9,319736,106474,46,52.2,44.7,-6.2,480,1459,391,78,1849
5,Chelsea,19147,22836,83.8,316440,104718,27,38.6,35.3,-11.6,376,1426,370,68,1737
6,Crystal Palace,13395,17308,77.4,238779,88389,29,29.0,23.8,0.0,316,1013,239,51,1243
7,Everton,11790,15783,74.7,214056,82478,24,32.4,26.9,-8.4,308,964,224,67,1052
8,Fulham,13974,18014,77.6,255629,89303,33,28.5,23.7,4.5,306,1044,284,97,1326
9,Leeds United,12437,16924,73.5,206567,84295,31,31.8,27.3,-0.8,337,1086,270,70,1429
10,Leicester City,14887,18871,78.9,249219,89055,36,38.4,26.3,-2.4,319,1142,220,52,1304
11,Liverpool,20043,24361,82.3,352929,120466,58,55.6,52.3,2.4,458,1615,452,85,1992
12,Manchester City,23263,26642,87.3,396454,114920,69,57.5,57.6,11.5,464,1770,445,75,2073
13,Manchester Utd,16603,20525,80.9,276625,97026,42,52.2,44.6,-10.2,478,1268,398,57,1595
14,Newcastle Utd,13925,17837,78.1,246297,90893,42,51.8,45.0,-9.8,435,1083,403,64,1618
15,Nott'ham Forest,9543,13606,70.1,177315,72656,22,26.3,20.5,-4.3,246,660,172,50,859
16,Southampton,12319,16391,75.2,211636,79814,25,28.1,26.0,-3.1,302,938,239,71,1125
17,Tottenham,15972,19672,81.2,277567,92695,46,43.0,34.0,3.0,386,1071,323,104,1449
18,West Ham,12369,16357,75.6,219013,84296,25,32.7,26.8,-7.7,340,990,212,80,1274
19,Wolves,14554,18294,79.6,264071,87310,12,25.4,21.0,-13.4,294,1110,252,71,1343
