,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,84,589,194,32.9,15.5,5.1,0.1,0.4,16.0,16,3,4,71.6,68.9,0.1,12.4,12.1
1,Aston Villa,49,427,145,34.0,11.2,3.8,0.1,0.3,18.0,18,3,4,50.3,47.2,0.1,-1.3,-1.2
2,Bournemouth,37,358,126,35.2,9.4,3.3,0.1,0.3,15.5,14,0,0,38.5,38.5,0.1,-1.5,-1.5
3,Brentford,56,400,147,36.8,10.5,3.9,0.1,0.3,15.7,14,7,8,56.3,50.1,0.1,-0.3,-1.1
4,Brighton,68,607,219,36.1,16.0,5.8,0.1,0.3,16.8,12,6,6,73.3,68.9,0.1,-5.3,-6.9
5,Chelsea,37,481,151,31.4,12.7,4.0,0.1,0.2,16.8,10,3,3,49.5,47.2,0.1,-12.5,-13.2
6,Crystal Palace,38,423,133,31.4,11.1,3.5,0.1,0.3,17.6,23,1,3,39.3,36.8,0.1,-1.3,0.2
7,Everton,32,426,143,33.6,11.2,3.8,0.1,0.2,16.8,12,3,3,45.2,42.8,0.1,-13.2,-13.8
8,Fulham,52,420,137,32.6,11.0,3.6,0.1,0.3,17.3,17,5,9,46.2,39.1,0.1,5.8,7.9
9,Leeds United,45,459,141,30.7,12.1,3.7,0.1,0.3,16.6,19,1,3,47.3,44.9,0.1,-2.3,-0.9
10,Leicester City,49,412,142,34.5,10.8,3.7,0.1,0.3,17.7,14,3,6,50.5,45.7,0.1,-1.5,0.3
11,Liverpool,71,601,203,33.8,15.8,5.3,0.1,0.3,16.2,7,2,4,71.5,68.4,0.1,-0.5,0.6
12,Manchester City,92,590,205,34.7,15.5,5.4,0.1,0.4,16.6,20,9,10,78.6,71.1,0.1,13.4,11.9
13,Manchester Utd,56,590,206,34.9,15.5,5.4,0.1,0.3,17.8,20,3,3,67.7,65.3,0.1,-11.7,-12.3
14,Newcastle Utd,64,565,184,32.6,14.9,4.8,0.1,0.3,15.6,15,6,6,71.9,67.3,0.1,-7.9,-9.3
15,Nott'ham Forest,36,362,111,30.7,9.5,2.9,0.1,0.3,17.2,9,3,6,39.3,34.6,0.1,-3.3,-1.6
16,Southampton,36,413,132,32.0,10.9,3.5,0.1,0.3,18.1,17,2,4,37.8,34.6,0.1,-1.8,-0.6
17,Tottenham,68,512,186,36.3,13.5,4.9,0.1,0.3,16.7,14,5,6,57.0,52.3,0.1,11.0,10.7
18,West Ham,41,466,133,28.5,12.3,3.5,0.1,0.3,17.3,13,6,8,49.2,43.7,0.1,-8.2,-8.7
19,Wolves,28,409,119,29.1,10.8,3.1,0.1,0.2,18.0,18,3,3,36.8,34.5,0.1,-8.8,-9.5
