,Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
0,Arsenal,26,24.7,59.3,84,64,148,81,3,4,51,0,71.6,68.9,53.5,122.4,824,2049
1,Aston Villa,26,27.0,49.3,49,35,84,46,3,4,80,1,50.3,47.2,38.8,86.0,637,1242
2,Bournemouth,31,26.3,40.4,37,24,61,37,0,0,68,0,38.5,38.5,28.4,66.9,504,1006
3,Brentford,25,26.2,43.8,56,36,92,49,7,8,57,1,56.3,50.1,38.4,88.5,392,1131
4,Brighton,29,26.3,60.2,68,46,114,62,6,6,58,0,73.3,68.9,52.2,121.2,809,1849
5,Chelsea,32,26.3,58.7,37,27,64,34,3,3,81,3,49.5,47.2,38.6,85.8,829,1737
6,Crystal Palace,26,26.7,46.3,38,29,67,37,1,3,82,3,39.3,36.8,29.0,65.8,556,1243
7,Everton,28,26.6,42.8,32,24,56,29,3,3,81,2,45.2,42.8,32.4,75.1,500,1052
8,Fulham,29,28.2,48.8,52,33,85,47,5,9,80,1,46.2,39.1,28.5,67.7,663,1326
9,Leeds United,29,25.3,47.0,45,31,76,44,1,3,89,3,47.3,44.9,31.8,76.7,555,1429
10,Leicester City,28,26.1,47.7,49,36,85,46,3,6,63,2,50.5,45.7,38.4,84.1,580,1304
11,Liverpool,28,27.4,60.8,71,58,129,69,2,4,57,1,71.5,68.4,55.6,124.1,719,1992
12,Manchester City,24,27.2,64.7,92,69,161,83,9,10,44,1,78.6,71.1,57.5,128.6,988,2073
13,Manchester Utd,26,26.9,53.7,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595
14,Newcastle Utd,27,27.3,52.3,64,42,106,58,6,6,61,1,71.9,67.3,51.8,119.1,695,1618
15,Nott'ham Forest,33,26.5,37.6,36,22,58,33,3,6,84,0,39.3,34.6,26.3,61.0,436,859
16,Southampton,36,24.7,44.5,36,25,61,34,2,4,73,0,37.8,34.6,28.1,62.7,588,1125
17,Tottenham,29,27.6,50.0,68,46,114,63,5,6,77,3,57.0,52.3,43.0,95.4,692,1449
18,West Ham,25,28.2,42.1,41,25,66,35,6,8,44,0,49.2,43.7,32.7,76.4,615,1274
19,Wolves,32,26.7,49.9,28,12,40,25,3,3,85,6,36.8,34.5,25.4,60.0,610,1343
