,Equipe,# J,MP,Inícios,Min.,90s,GC,GC90,CaGC,Defesas,%Defesas,V,E,D,SV,%SV,PT,GPC,Psv,GPp,%Defesas
0,Almería,3,38,38,3.42,38.0,65,171,203,138,700,11,8,19,4,105,6,4,1,1,200
1,Athletic Club,2,38,38,3.42,38.0,43,113,123,83,675,14,9,15,11,289,3,3,0,0,0
2,Atlético Madrid,3,38,38,3.42,38.0,33,87,128,95,773,23,8,7,13,342,5,4,0,1,0
3,Barcelona,2,38,38,3.42,38.0,20,53,102,85,833,28,4,6,26,684,3,3,0,0,0
4,Betis,2,38,38,3.42,38.0,41,108,146,106,740,17,9,12,13,342,3,3,0,0,0
5,Cádiz,2,38,38,3.42,38.0,53,139,202,148,782,10,12,16,13,342,10,9,1,0,100
6,Celta Vigo,2,38,38,3.42,38.0,53,139,134,80,642,11,10,17,10,263,8,5,2,1,286
7,Elche,2,38,38,3.42,38.0,67,176,208,140,712,5,10,23,4,105,10,7,3,0,300
8,Espanyol,4,38,38,3.419,38.0,69,182,183,115,650,8,13,17,6,158,6,5,1,0,167
9,Getafe,1,38,38,3.42,38.0,45,118,166,119,753,10,12,16,13,342,8,4,4,0,500
10,Girona,2,38,38,3.42,38.0,55,145,168,112,708,13,10,15,4,105,8,6,1,1,143
11,Mallorca,3,38,38,3.42,38.0,43,113,145,101,745,14,8,16,13,342,7,6,1,0,143
12,Osasuna,2,38,38,3.42,38.0,42,111,148,107,723,15,8,15,11,289,4,1,1,2,500
13,Rayo Vallecano,2,38,38,3.42,38.0,53,139,144,95,660,13,10,15,9,237,5,4,0,1,0
14,Real Madrid,2,38,38,3.42,38.0,36,95,136,100,765,24,6,8,13,342,5,4,1,0,200
15,Real Sociedad,1,38,38,3.42,38.0,35,92,133,99,744,21,8,9,15,395,2,1,1,0,500
16,Sevilla,2,38,38,3.42,38.0,54,142,161,109,677,13,10,15,9,237,3,2,1,0,333
17,Valencia,1,38,38,3.42,38.0,45,118,148,105,709,11,9,18,7,184,5,2,0,3,0
18,Valladolid,3,38,38,3.42,38.0,63,166,199,134,714,11,7,20,9,237,10,6,3,1,333
19,Villarreal,3,38,38,3.42,38.0,40,105,149,110,758,19,7,12,12,316,4,4,0,0,0
