,Equipe,# J,90s,SCA,SCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def,GCA,GCA90,Passe em jogo,Passe de bola parada,TO,TC,FltsP,Def
0,Almería,29,38.0,758,1995,533,73,51,51,33,17,76,200,51,7,8,7,3,0
1,Athletic Club,26,38.0,945,2487,678,96,56,59,40,16,78,205,54,3,6,7,7,1
2,Atlético Madrid,27,38.0,958,2521,756,59,47,51,32,13,116,305,82,7,9,13,3,2
3,Barcelona,29,38.0,1049,2761,824,65,62,58,29,11,125,329,106,2,6,11,0,0
4,Betis,30,38.0,741,1950,547,55,53,44,35,7,69,182,47,3,5,9,5,0
5,Cádiz,38,38.0,663,1745,461,69,36,42,38,17,49,129,32,2,8,5,2,0
6,Celta Vigo,26,38.0,819,2155,623,62,45,41,37,11,70,184,55,3,6,3,1,2
7,Elche,32,38.0,726,1911,495,103,47,37,33,11,54,142,36,7,0,4,5,2
8,Espanyol,33,38.0,735,1934,506,79,43,53,41,13,84,221,58,2,5,13,3,3
9,Getafe,25,38.0,619,1629,414,84,25,35,54,7,51,134,38,4,2,2,4,1
10,Girona,29,38.0,821,2161,597,86,41,45,43,9,102,268,70,10,1,5,13,3
11,Mallorca,31,38.0,563,1482,373,76,33,30,42,9,63,166,37,11,4,4,5,2
12,Osasuna,26,38.0,779,2050,564,77,53,41,30,14,69,182,53,7,0,5,4,0
13,Rayo Vallecano,28,38.0,881,2318,651,77,43,40,46,24,69,182,50,5,6,3,4,1
14,Real Madrid,26,38.0,1194,3142,894,85,88,52,67,8,134,353,95,5,15,8,10,1
15,Real Sociedad,30,38.0,800,2105,594,71,41,39,38,17,82,216,64,3,5,4,3,3
16,Sevilla,35,38.0,837,2203,640,74,26,41,39,17,82,216,56,8,7,6,5,0
17,Valencia,28,38.0,859,2261,607,80,59,46,51,16,62,163,40,6,2,7,6,1
18,Valladolid,36,38.0,792,2084,581,77,39,36,46,13,59,155,40,6,4,4,5,0
19,Villarreal,32,38.0,884,2326,665,45,73,53,40,8,89,234,59,2,13,11,4,0
