,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Augsburg,2,63,1,2,4,2,63.4,0.3,2.4,0.1
1,Bayern Munich,3,38,9,1,2,0,40.8,0.3,2.8,0.1
2,Bochum,1,72,8,2,9,3,69.0,0.3,0.0,0.0
3,Dortmund,2,44,1,0,7,1,41.7,0.3,-1.3,-0.0
4,Eint Frankfurt,2,52,2,1,8,1,43.3,0.3,-7.7,-0.2
5,Freiburg,1,44,5,0,4,0,46.4,0.3,2.4,0.1
6,Gladbach,4,55,6,1,4,1,57.7,0.3,3.7,0.1
7,Hertha BSC,2,69,5,4,8,0,60.4,0.3,-8.6,-0.2
8,Hoffenheim,1,57,2,1,11,1,50.4,0.3,-5.6,-0.2
9,Köln,1,54,4,4,4,3,42.3,0.3,-8.7,-0.3
10,Leverkusen,2,49,7,1,5,2,42.7,0.2,-4.3,-0.1
11,Mainz 05,2,55,4,1,5,0,48.9,0.3,-6.1,-0.2
12,RB Leipzig,3,41,7,0,5,2,38.8,0.3,-0.2,-0.0
13,Schalke 04,2,71,5,1,7,1,58.2,0.3,-11.8,-0.4
14,Stuttgart,2,57,6,2,6,1,47.3,0.3,-8.7,-0.3
15,Union Berlin,2,38,7,0,6,0,44.2,0.3,6.2,0.2
16,Werder Bremen,2,64,2,0,6,2,55.1,0.3,-6.9,-0.2
17,Wolfsburg,1,48,4,0,5,3,43.9,0.3,-1.1,-0.0
